ticker,strategy,open_date,close_date,short_expiry,long_expiry,strike,entry_credit,entry_debit,pnl,pnl_norm,win,trade_date,rv30,iv30,iv60,forward_iv_30_60,forward_factor_30_60,ts45,iv30_rv30,avg_volume,expected_move_pct
VIX,short_straddle_hold,2023-01-03,2023-02-01,2023-02-01,,23.0,3.66,0.0,-147.0,-0.40163934,False,2023-01-03,0.8722388555087667,0.684079932315009,0.6458910856928144,0.6052976419570605,0.13015462955254212,0.0029600370626944998,0.7842805075634852,0.0,15.45
VIX,long_call_calendar_30_60,2023-01-03,2023-02-01,2023-02-01,2023-02-15,23.0,2.19,2.7699999809265137,-20.999992,-0.07581225,False,2023-01-03,0.8722388555087667,0.684079932315009,0.6458910856928144,0.6052976419570605,0.13015462955254212,0.0029600370626944998,0.7842805075634852,0.0,15.45
VIX,long_straddle_calendar_30_60,2023-01-03,2023-02-01,2023-02-01,2023-02-15,23.0,3.66,4.380000114440918,-72.00003,-0.16438363,False,2023-01-03,0.8722388555087667,0.684079932315009,0.6458910856928144,0.6052976419570605,0.13015462955254212,0.0029600370626944998,0.7842805075634852,0.0,15.45
VIX,short_straddle_hold,2023-01-04,2023-02-01,2023-02-01,,22.0,3.38,0.0,-75.0,-0.22189349,False,2023-01-04,0.8716495307269873,0.6319922719682965,0.6280955382755824,0.6241744776708976,0.012525014362283714,0.008540761584327336,0.7250531890279251,0.0,14.44
VIX,long_call_calendar_30_60,2023-01-04,2023-02-01,2023-02-01,2023-03-22,22.0,2.42,3.8499999046325684,2.000022,0.0051948624,True,2023-01-04,0.8716495307269873,0.6319922719682965,0.6280955382755824,0.6241744776708976,0.012525014362283714,0.008540761584327336,0.7250531890279251,0.0,14.44
VIX,long_straddle_calendar_30_60,2023-01-04,2023-02-01,2023-02-01,2023-03-22,22.0,3.38,5.239999771118164,-93.999954,-0.17938922,False,2023-01-04,0.8716495307269873,0.6319922719682965,0.6280955382755824,0.6241744776708976,0.012525014362283714,0.008540761584327336,0.7250531890279251,0.0,14.44
VIX,short_straddle_hold,2023-01-05,2023-02-01,2023-02-01,,22.0,3.1200001,0.0,-101.0,-0.32371795,False,2023-01-05,0.8731678168237976,0.6028837221009391,0.5795312336512974,0.5551973695727557,0.08589081134314414,-0.00039882258181170093,0.6904557296831739,0.0,13.53
VIX,long_call_calendar_30_60,2023-01-05,2023-02-01,2023-02-01,2023-03-22,22.0,2.13,3.680000066757202,-9.99999,-0.027173888,False,2023-01-05,0.8731678168237976,0.6028837221009391,0.5795312336512974,0.5551973695727557,0.08589081134314414,-0.00039882258181170093,0.6904557296831739,0.0,13.53
VIX,long_straddle_calendar_30_60,2023-01-05,2023-02-01,2023-02-01,2023-03-22,22.0,3.1200001,5.079999923706055,-104.0,-0.20472442,False,2023-01-05,0.8731678168237976,0.6028837221009391,0.5795312336512974,0.5551973695727557,0.08589081134314414,-0.00039882258181170093,0.6904557296831739,0.0,13.53
SPY,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,392.0,21.650002,0.0,-299.99982,-0.13856803,False,2023-01-27,0.17992117012558823,0.19338657600539072,0.19376706651278905,0.1941468113332137,-0.003915775503096978,-0.00112236203655364,1.0748405864101673,83916808.6,5.49
