ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,425.2,430.18,,425.0,,,10.719999,-10.860000610351562,10.719999
AAPL,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,133.14,137.03,,133.0,,,5.7799997,-6.190000057220459,5.7799997
QQQ,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,349.77,354.21,,350.0,,,12.38,-11.800000190734863,12.38
TSLA,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,681.51,675.74,,690.0,,,88.350006,-72.74000549316406,88.350006
SPX,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,4264.18,4316.79,,4265.0,,,106.119995,-106.97000122070312,106.119995
IWM,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,231.72,231.58,,232.0,,,9.27,-7.920000076293945,9.27
AMD,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,86.08,93.17,,86.5,,,6.1800003,-8.520000457763672,6.1800003
PLTR,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,26.56,24.73,,27.0,,,2.85,-3.2200000286102295,2.85
VIX,short_straddle_1w,2021-06-24,2021-07-01,2021-07-21,,18.0278,16.597,,19.0,,,4.3500004,-3.990000009536743,4.3500004
NIO,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,45.5,50.9,,46.0,,,5.91,-7.210000038146973,5.91
F,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,15.31,14.91,,15.5,,,1.3599999,-1.159999966621399,1.3599999
SLV,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,24.03,24.13,,24.0,,,1.28,-1.1299999952316284,1.28
MSFT,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,266.6,271.02,,267.5,,,12.21,-11.449999809265137,12.21
BABA,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,217.93,221.79,,217.5,,,12.24,-12.220000267028809,12.24
XLF,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,36.53,36.98,,36.5,,,1.52,-1.3199999332427979,1.52
SNDL,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,1.0,0.92,,1.0,,,0.3,-0.25,0.3
BA,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,250.03,239.86,,250.0,,,16.96,-16.6299991607666,16.96
T,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,28.78,29.11,,28.5,,,1.37,-1.2699999809265137,1.37
XLE,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,55.05,54.83,,55.0,,,3.51,-2.9499998092651367,3.51
AAL,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,22.35,21.46,,22.5,,,2.4299998,-2.240000009536743,2.4299998
NOK,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,5.12,5.36,,5.0,,,0.37,-0.47999998927116394,0.37
GE,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,13.18,13.48,,13.0,,,0.85,-0.8700000047683716,0.85
PFE,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,39.23,39.47,,39.5,,,1.52,-1.2599999904632568,1.52
UBER,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,50.92,50.72,,51.0,,,4.36,-3.75,4.36
WFC,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,45.2,45.4,,45.5,,,3.5,-2.759999990463257,3.5
SQQQ,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,9.53,9.16,,9.5,,,1.05,-0.9800000190734863,1.05
DIS,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,177.92,177.28,,177.5,,,8.09,-6.929999828338623,8.09
INTC,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,55.99,56.03,,56.0,,,4.09,-3.759999990463257,4.09
MU,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,80.59,80.19,,81.0,,,6.8999996,-5.389999866485596,6.8999996
DKNG,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,51.02,51.73,,51.5,,,5.6,-4.819999694824219,5.6
GM,short_straddle_1w,2021-06-24,2021-07-01,2021-07-23,,60.24,59.02,,60.0,,,3.9299998,-3.2699999809265137,3.9299998
