ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_hold,2021-01-29,2021-03-01,2021-03-01,,370.9,389.71,,372.0,,,21.89,-17.709991455078125,21.89
SPX,short_straddle_hold,2021-01-29,2021-03-01,2021-03-01,,3714.3735,3903.11,,3725.0,,,218.32808,-178.110107421875,218.32808
SPY,short_straddle_1w,2021-02-22,2021-03-01,2021-03-24,,387.77,389.71,,388.0,,,15.93,-14.34000015258789,15.93
AAPL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,126.38,127.51,,127.0,,,9.72,-8.530000686645508,9.72
QQQ,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,323.04,323.32,,324.0,,,20.24,-16.720001220703125,20.24
TSLA,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,717.29,715.46,,730.0,,,114.94,-94.63999938964844,114.94
IWM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,223.86,226.25,,224.0,,,15.58,-14.889999389648438,15.58
AMC,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,6.51,9.2,,7.5,,,3.3000002,-3.9099998474121094,3.3000002
PLTR,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,27.91,24.88,,29.5,,,7.57,-6.859999656677246,7.57
NIO,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,50.59,50.0,,53.0,,,12.13,-10.710000038146973,12.13
F,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,11.7,12.01,,12.0,,,1.37,-1.1299999952316284,1.37
AMZN,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,3181.69,3144.93,,3200.0,,,227.66,-183.76998901367188,227.66
SLV,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,26.16,24.57,,26.5,,,2.9299998,-2.799999952316284,2.9299998
MSFT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,235.12,236.69,,235.0,,,14.58,-12.700000762939453,14.58
BAC,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,35.14,35.98,,35.0,,,2.6100001,-2.430000066757202,2.6100001
VXX,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,15.52,14.78,,16.5,,,4.0299997,-3.6600000858306885,4.0299997
XLF,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,32.69,33.4,,32.5,,,1.9300001,-1.8900001049041748,1.9300001
SNDL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,1.41,1.35,,2.0,,,1.06,-0.9900000095367432,1.06
BA,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,213.86,224.06,,215.0,,,22.24,-21.71000099182129,22.24
HYG,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,87.3,87.08,,87.0,,,1.39,-1.3399999141693115,1.39
T,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,29.43,28.12,,29.5,,,1.47,-1.78000009059906,1.47
XLE,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,47.97,49.47,,48.0,,,4.59,-4.170000076293945,4.59
AAL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,20.45,21.21,,21.0,,,3.61,-2.880000114440918,3.61
SNAP,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,63.28,66.84,,64.5,,,9.41,-8.739999771118164,9.41
NOK,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,3.97,4.06,,4.0,,,0.45999998,-0.44999998807907104,0.45999998
CCL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,26.12,26.28,,27.0,,,5.5299997,-4.440000057220459,5.5299997
GE,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,12.52,13.15,,12.5,,,1.23,-1.2599999904632568,1.23
PFE,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,34.34,33.67,,34.5,,,1.86,-1.6800000667572021,1.86
BB,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,10.62,10.97,,11.0,,,2.4,-2.5199999809265137,2.4
WFC,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,37.12,37.18,,37.5,,,3.31,-2.8299999237060547,3.31
RIOT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,65.69,53.05,,90.0,,,50.9,-44.71999740600586,50.9
SQQQ,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,13.45,13.23,,14.0,,,2.9099998,-2.490000009536743,2.9099998
INTC,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,60.91,62.83,,61.5,,,4.99,-4.53000020980835,4.99
MU,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,86.15,94.83,,87.5,,,10.049999,-11.279999732971191,10.049999
DKNG,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,60.46,68.81,,62.0,,,10.440001,-10.469999313354492,10.440001
MARA,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,37.62,37.55,,50.0,,,27.02,-23.44999885559082,27.02
CLOV,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,11.11,10.48,,12.5,,,3.05,-3.2200000286102295,3.05
GM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,52.18,52.57,,52.5,,,5.25,-4.630000114440918,5.25
XOM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,54.5,56.56,,55.0,,,5.0299997,-4.720000267028809,5.0299997
TLT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,142.03,140.53,,142.0,,,6.01,-5.489999771118164,6.01
PLUG,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,49.04,52.18,,51.5,,,12.13,-11.030000686645508,12.13
RKT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,20.49,24.18,,21.0,,,4.37,-4.230000019073486,4.37
JPM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,149.14,151.24,,150.0,,,9.75,-8.930000305175781,9.75
WMT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,137.75,131.46,,138.0,,,7.2200003,-8.640000343322754,7.2200003
JD,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,98.41,97.81,,100.0,,,12.889999,-11.670000076293945,12.889999
PINS,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,80.98,83.28,,82.5,,,11.79,-10.549999237060547,11.79
XPEV,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,37.89,35.48,,40.0,,,9.73,-8.84000015258789,9.73
UAL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,49.76,53.23,,51.0,,,7.2799997,-6.679999828338623,7.2799997
CSCO,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,45.58,45.99,,45.5,,,2.65,-2.2899999618530273,2.65
QCOM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,139.6,139.04,,140.0,,,11.46,-9.690000534057617,11.46
FCEL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,17.89,18.62,,19.0,,,5.83,-5.019999980926514,5.83
OXY,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,26.37,27.62,,27.0,,,4.75,-4.010000228881836,4.75
ABNB,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,194.31,197.87,,200.0,,,35.059998,-28.18000030517578,35.059998
ET,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,7.47,8.05,,7.5,,,1.01,-1.0,1.01
VZ,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,56.49,55.43,,57.0,,,2.55,-2.5299999713897705,2.55
DIA,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,315.69,315.79,,316.0,,,13.04,-12.050000190734863,13.04
ORCL,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,64.76,66.26,,65.0,,,4.8999996,-4.639999866485596,4.8999996
GSAT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,1.86,1.75,,2.0,,,0.82000005,-0.5899999737739563,0.82000005
BP,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,23.69,24.61,,24.0,,,2.28,-2.070000171661377,2.28
USO,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,41.3,40.43,,41.5,,,3.31,-3.3499999046325684,3.31
KWEB,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,96.58,93.49,,95.0,,,8.55,-6.970000267028809,8.55
KRE,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,65.08,66.7,,65.0,,,5.4,-5.309999942779541,5.4
AFRM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,104.0,91.27,,105.0,,,18.93,-19.919998168945312,18.93
MS,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,77.33,79.44,,78.0,,,5.83,-5.329999923706055,5.83
NNDM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,12.38,10.23,,12.5,,,3.87,-3.5399999618530273,3.87
SKLZ,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,32.24,34.62,,35.0,,,8.940001,-7.650000095367432,8.940001
JNJ,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,162.54,159.34,,162.5,,,8.059999,-7.299999713897705,8.059999
MVIS,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,18.01,17.65,,21.0,,,9.13,-7.590000152587891,9.13
UPST,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,75.54,66.31,,80.0,,,22.64,-21.439998626708984,22.64
ATOS,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,2.95,2.86,,3.5,,,1.44,-1.3100000619888306,1.44
IVR,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,3.9,3.94,,4.0,,,0.65999997,-0.4399999976158142,0.65999997
MO,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,44.42,44.6,,44.0,,,2.81,-2.5799999237060547,2.81
RIG,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,3.55,3.77,,4.0,,,1.1800001,-0.8899999856948853,1.1800001
CAT,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,217.96,220.53,,220.0,,,16.39,-13.890000343322754,16.39
IBM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,121.08,120.81,,121.0,,,6.6800003,-5.529999732971191,6.6800003
SENS,short_straddle_1w,2021-02-22,2021-03-01,2021-03-19,,4.05,3.47,,4.5,,,1.7,-1.6200001239776611,1.7
MGM,short_straddle_1w,2021-02-22,2021-03-01,2021-03-26,,37.77,38.41,,38.0,,,4.96,-4.119999885559082,4.96
