ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
VIX,short_straddle_hold,2020-02-28,2020-04-01,2020-04-01,,27.2737,58.0889,,29.0,,,8.360001,-29.08890151977539,8.360001
SPY,short_straddle_hold,2020-03-02,2020-04-01,2020-04-01,,305.36,245.0,,305.0,,,19.34,-60.0,19.34
SPY,long_call_calendar_30_60,2020-03-02,2020-04-01,2020-04-01,2020-05-15,305.36,245.0,,305.0,,306.0,-3.5599995,0.3199999928474426,22.32
VIX,short_straddle_hold,2020-03-04,2020-04-01,2020-04-01,,26.1424,58.0889,,28.0,,,7.2300005,-30.08890151977539,7.2300005
VIX,short_straddle_hold,2020-03-05,2020-04-01,2020-04-01,,30.8271,58.0889,,32.5,,,9.16,-25.58890151977539,9.16
SPY,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,251.79,245.0,,255.0,,,32.129997,-26.020000457763672,32.129997
AAPL,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,251.09,240.08,,255.0,,,35.5,-30.400001525878906,35.5
QQQ,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,185.11,181.64,,187.5,,,23.41,-18.809999465942383,23.41
AMD,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,45.43,43.57,,47.0,,,9.12,-7.240000247955322,9.12
MSFT,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,149.33,151.52,,152.5,,,19.83,-17.649999618530273,19.83
BABA,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,190.61,186.65,,192.5,,,19.400002,-15.760000228881836,19.400002
GLD,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,151.89,149.58,,153.0,,,12.65,-8.199999809265137,12.65
BA,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,161.41,131.32,,175.0,,,53.4,-50.05999755859375,53.4
GE,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,7.67,7.08,,8.0,,,1.79,-1.4500000476837158,1.79
NVDA,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,251.32,241.86,,260.0,,,46.22,-38.130001068115234,46.22
F,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,5.53,4.38,,6.0,,,1.6600001,-1.6799999475479126,1.6600001
T,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,29.2,27.93,,29.5,,,4.1400003,-3.4099998474121094,4.1400003
USO,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,5.12,4.3,,5.5,,,1.5,-1.5499999523162842,1.5
ZM,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,137.74,137.06,,145.0,,,35.44,-28.389999389648438,35.44
MU,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,43.17,39.64,,45.0,,,8.74,-7.539999961853027,8.74
TQQQ,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,44.78,41.22,,50.0,,,16.61,-13.739999771118164,16.61
SQQQ,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,22.07,22.2,,25.0,,,9.82,-7.880000114440918,9.82
PINS,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,14.11,14.01,,15.0,,,3.27,-2.700000047683716,3.27
M,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,6.68,4.42,,7.0,,,1.9499999,-2.669999837875366,1.9499999
PLUG,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,3.84,3.27,,4.0,,,1.05,-0.9600000381469727,1.05
DIA,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,216.31,208.84,,220.0,,,32.99,-26.94999885559082,32.99
GOLD,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,19.35,18.91,,20.0,,,3.47,-2.759999990463257,3.47
ACB,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,0.75,0.8,,1.0,,,0.37,-0.4300000071525574,0.37
ET,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,4.99,4.92,,5.0,,,1.59,-1.2599999904632568,1.59
FSLY,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,18.11,17.47,,19.0,,,3.4900002,-3.069999933242798,3.4900002
GME,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,4.27,3.26,,4.5,,,1.9100001,-1.4500000476837158,1.9100001
DOCU,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,81.66,92.23,,82.5,,,12.34,-13.84000015258789,12.34
COST,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,284.64,285.4,,287.5,,,31.39,-24.93000030517578,31.39
SPXS,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,17.75,18.3,,20.0,,,7.71,-6.430000305175781,7.71
FCEL,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,1.6,1.35,,1.5,,,0.6,-0.4700000286102295,0.6
DDOG,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,35.27,35.01,,36.0,,,6.09,-4.139999866485596,6.09
JMIA,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,3.15,2.68,,3.0,,,0.95000005,-0.6399999856948853,0.95000005
VNQ,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,66.42,64.34,,65.0,,,9.09,-6.560000419616699,9.09
NET,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,21.51,23.89,,22.5,,,3.99,-3.6100001335144043,3.99
SE,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,44.26,43.12,,45.0,,,6.6,-4.769999980926514,6.6
SPG,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,63.18,46.6,,65.0,,,14.51,-19.0,14.51
TDOC,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,143.12,161.86,,150.0,,,30.79,-26.200000762939453,30.79
BILI,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,23.07,24.13,,22.5,,,3.66,-3.0199999809265137,3.66
JETS,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,16.52,13.09,,17.0,,,4.01,-4.289999961853027,4.01
ENPH,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,37.06,29.62,,40.0,,,9.43,-11.34999942779541,9.43
JBLU,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,11.47,8.07,,12.0,,,3.31,-4.03000020980835,3.31
SPXL,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,24.68,22.24,,27.0,,,8.530001,-6.890000343322754,8.530001
GRPN,short_straddle_1w,2020-03-25,2020-04-01,2020-04-24,,0.9,0.87,,1.0,,,0.49,-0.36000001430511475,0.49
TJX,short_straddle_1w,2020-03-25,2020-04-01,2020-04-17,,44.55,44.2,,45.0,,,7.08,-5.579999923706055,7.08
SPY,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,256.95,250.47,,260.0,,,31.210001,-22.53999900817871,31.210001
AAPL,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,251.97,243.11,,255.0,,,33.66,-27.149999618530273,33.66
QQQ,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,188.78,184.93,,191.0,,,22.39,-16.1299991607666,22.39
AMD,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,46.84,44.23,,48.0,,,8.29,-6.940000057220459,8.29
MSFT,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,153.13,154.06,,155.0,,,18.48,-15.899999618530273,18.48
SLV,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,13.44,13.55,,13.5,,,1.72,-1.3399999141693115,1.72
GLD,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,153.42,152.22,,154.0,,,11.28,-8.450000762939453,11.28
GE,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,7.94,6.88,,8.0,,,1.6400001,-1.4900000095367432,1.6400001
NVDA,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,252.71,253.61,,260.0,,,45.6,-32.15999984741211,45.6
F,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,5.19,4.33,,5.5,,,1.35,-1.4399999380111694,1.35
USO,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,4.78,5.12,,5.0,,,1.23,-1.440000057220459,1.23
CCL,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,17.29,7.99,,20.0,,,8.65,-12.079999923706055,8.65
XOM,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,37.63,40.09,,39.0,,,6.1000004,-5.849999904632568,6.1000004
XLE,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,29.56,30.03,,30.0,,,5.27,-4.730000019073486,5.27
CSCO,short_straddle_1w,2020-03-26,2020-04-02,2020-04-24,,39.67,39.64,,40.0,,,4.74,-3.6700000762939453,4.74
