ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_hold,2020-01-03,2020-02-03,2020-02-03,,322.77,324.33,,323.0,,,8.92,-1.329986572265625,8.92
SPY,long_call_calendar_30_60,2020-01-03,2020-02-03,2020-02-03,2020-02-21,322.77,324.33,,323.0,,324.0,-0.7800002,3.6900134086608887,9.940001
SPY,long_straddle_calendar_30_60,2020-01-03,2020-02-03,2020-02-03,2020-02-21,322.77,324.33,,323.0,,324.0,-2.25,8.060012817382812,20.09
SPX,short_straddle_hold,2020-01-03,2020-02-03,2020-02-03,,3234.964,3250.39,,3240.0,,,85.063576,-10.389892578125,85.063576
SPX,long_call_calendar_30_60,2020-01-03,2020-02-03,2020-02-03,2020-03-06,3234.964,3250.39,,3240.0,,3245.0,-21.721588,50.43163299560547,106.097984
SPX,long_straddle_calendar_30_60,2020-01-03,2020-02-03,2020-02-03,2020-03-06,3234.964,3250.39,,3240.0,,3245.0,-49.90627,107.52703857421875,220.03342
SPY,short_straddle_1w,2020-01-27,2020-02-03,2020-02-26,,323.98,324.33,,325.0,,,11.14,-9.639999389648438,11.14
AAPL,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,309.68,308.17,,310.0,,,24.64,-17.34000015258789,24.64
QQQ,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,218.31,222.25,,219.0,,,9.42,-9.389999389648438,9.42
SPX,short_straddle_1w,2020-01-27,2020-02-03,2020-02-26,,3242.6736,3250.39,,3250.0,,,110.89195,-99.16228485107422,110.89195
IWM,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,164.03,162.26,,164.5,,,6.39,-5.649999618530273,6.39
VIX,short_straddle_1w,2020-01-27,2020-02-03,2020-02-26,,17.5117,17.6417,,18.0,,,4.26,-4.010000228881836,4.26
NIO,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,4.06,4.04,,4.5,,,1.41,-1.2100000381469727,1.41
MSFT,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,162.49,174.08,,162.5,,,9.85,-12.880000114440918,9.85
EEM,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,43.17,42.56,,43.5,,,2.03,-1.7999999523162842,2.03
BAC,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,32.86,33.07,,33.0,,,1.71,-1.4500000476837158,1.71
VXX,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,15.55,15.62,,16.0,,,3.1,-2.8000001907348633,3.1
BABA,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,205.08,213.4,,207.5,,,17.08,-16.18000030517578,17.08
GLD,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,148.89,148.39,,149.0,,,3.9499998,-3.6700000762939453,3.9499998
XLF,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,29.96,30.19,,30.0,,,1.2,-1.1200000047683716,1.2
BA,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,317.49,315.8,,317.5,,,24.83,-16.950000762939453,24.83
GE,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,11.47,12.28,,11.5,,,1.1,-1.0499999523162842,1.1
DIS,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,136.15,141.31,,137.0,,,8.77,-10.809999465942383,8.77
SNAP,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,18.61,18.28,,19.0,,,2.87,-2.740000009536743,2.87
F,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,8.9,9.01,,9.0,,,0.65999997,-0.6700000166893005,0.65999997
GDX,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,29.05,28.61,,29.0,,,1.74,-1.5199999809265137,1.74
UBER,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,36.35,37.55,,37.0,,,4.5,-4.300000190734863,4.5
NFLX,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,342.58,358.03,,345.0,,,26.75,-26.06999969482422,26.75
T,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,38.3,37.01,,38.5,,,1.92,-1.7899999618530273,1.92
USO,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,11.12,10.51,,11.0,,,0.95000005,-1.0,0.95000005
ROKU,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,126.26,127.71,,130.0,,,24.98,-22.0,24.98
FXI,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,40.81,40.09,,41.0,,,2.38,-2.070000171661377,2.38
SPCE,short_straddle_1w,2020-01-27,2020-02-03,2020-02-21,,17.5,18.2,,18.0,,,4.32,-3.0399999618530273,4.32
UVXY,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,13.31,13.35,,14.0,,,3.92,-3.7200000286102295,3.92
TLT,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,144.18,145.42,,144.0,,,4.29,-4.199999809265137,4.29
JPM,short_straddle_1w,2020-01-27,2020-02-03,2020-02-28,,132.4,133.45,,133.0,,,6.1800003,-5.760000228881836,6.1800003
