ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
VIX,short_straddle_hold,2023-01-04,2023-02-01,2023-02-01,,23.401,19.3,,24.0,,,3.7800002,-4.700000762939453,3.7800002
VIX,short_straddle_hold,2023-01-05,2023-02-01,2023-02-01,,23.0676,19.3,,24.0,,,3.67,-4.700000762939453,3.67
SPY,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,399.62,412.62,,402.0,,,15.93,-17.729999542236328,15.93
QQQ,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,287.17,302.6,,289.0,,,15.280001,-19.450000762939453,15.280001
SPX,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,4003.58,4128.22,,4025.0,,,157.98999,-178.33999633789062,157.98999
TSLA,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,144.56,182.59,,150.0,,,22.95,-36.939998626708984,22.95
NVDA,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,192.76,210.83,,195.0,,,24.79,-27.399999618530273,24.79
AAPL,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,141.61,146.24,,142.0,,,10.38,-10.049999237060547,10.38
AMZN,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,96.75,105.77,,98.0,,,10.91,-12.420000076293945,10.91
VIX,short_straddle_1w,2023-01-25,2023-02-01,2023-02-22,,21.4896,19.3,,22.0,,,3.61,-3.7100000381469727,3.61
AMD,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,74.81,84.91,,76.0,,,9.0,-10.960000038146973,9.0
MSFT,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,240.13,254.05,,240.0,,,14.34,-18.18000030517578,14.34
META,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,141.77,153.33,,144.0,,,18.24,-18.979999542236328,18.24
AMC,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,5.31,5.78,,5.5,,,1.9300001,-1.7200000286102295,1.9300001
GOOGL,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,94.78,100.87,,96.0,,,8.14,-8.670000076293945,8.14
TQQQ,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,21.31,24.76,,22.0,,,3.37,-4.21999979019165,3.37
BAC,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,34.8,36.08,,35.0,,,1.8800001,-1.9199999570846558,1.8800001
PLTR,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,7.2,8.21,,7.5,,,1.1,-1.3700000047683716,1.1
TLT,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,107.32,108.19,,107.5,,,4.59,-3.7699999809265137,4.59
SQQQ,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,42.67,36.16,,44.0,,,7.2299995,-9.209999084472656,7.2299995
COIN,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,52.69,65.98,,55.0,,,12.9,-16.360000610351562,12.9
NFLX,short_straddle_1w,2023-01-25,2023-02-01,2023-02-24,,367.14,364.65,,370.0,,,32.66,-26.829999923706055,32.66
