ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
QQQ,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,319.83,297.59,,321.0,,,18.75,-26.219999313354492,18.75
TSLA,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,294.65,274.4,,298.33,,,32.91,-33.85000228881836,32.91
AAPL,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,169.79,157.03,,170.0,,,9.83,-14.25,9.83
AMD,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,96.83,81.4,,98.0,,,10.21,-17.21000099182129,10.21
NVDA,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,178.29,137.96,,180.0,,,19.68,-42.459999084472656,19.68
VIX,short_straddle_1w,2022-08-25,2022-09-01,2022-09-21,,23.6234,26.4922,,24.0,,,4.07,-3.859999895095825,4.07
META,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,168.34,164.32,,170.0,,,15.84,-15.680000305175781,15.84
TQQQ,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,34.19,27.31,,35.0,,,5.83,-8.319999694824219,5.83
F,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,15.9,15.07,,16.0,,,1.46,-1.5600000619888306,1.46
MSFT,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,278.06,258.8,,280.0,,,15.67,-23.440000534057617,15.67
NIO,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,20.04,18.72,,20.5,,,3.12,-3.3299999237060547,3.12
UVXY,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,9.11,10.26,,9.5,,,2.1,-1.9000000953674316,2.1
SLV,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,17.7,16.39,,18.0,,,1.09,-1.790000081062317,1.09
BAC,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,35.09,33.32,,35.0,,,2.27,-2.4800000190734863,2.27
GOOGL,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,116.58,109.13,,117.0,,,7.8,-9.690000534057617,7.8
PBR,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,14.59,14.39,,15.0,,,1.6999999,-1.6299999952316284,1.6999999
SNAP,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,11.14,11.57,,11.5,,,1.75,-1.8199999332427979,1.75
NFLX,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,233.53,228.2,,235.0,,,23.939999,-23.959999084472656,23.939999
TLT,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,112.74,109.76,,113.0,,,4.84,-5.269999980926514,4.84
GLD,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,163.62,157.92,,164.0,,,5.33,-7.180000305175781,5.33
XOM,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,98.92,93.31,,100.0,,,7.5,-9.039999961853027,7.5
ARKK,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,45.62,41.33,,46.0,,,5.81,-6.400000095367432,5.81
INTC,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,34.77,31.59,,35.0,,,2.25,-3.7300000190734863,2.25
AAL,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,14.39,12.85,,14.5,,,1.6800001,-2.0299999713897705,1.6800001
SOFI,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,6.68,5.84,,7.0,,,1.0899999,-1.3600000143051147,1.0899999
T,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,18.06,17.44,,18.0,,,0.86,-0.8700000047683716,0.86
PLTR,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,8.41,7.45,,8.5,,,1.13,-1.3600000143051147,1.13
SQQQ,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,37.58,46.17,,38.5,,,7.1,-9.59000015258789,7.1
UBER,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,29.53,28.7,,30.0,,,3.4299998,-3.369999885559082,3.4299998
GOOG,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,117.65,109.92,,118.0,,,7.8199997,-9.890000343322754,7.8199997
VXX,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,19.64,19.3,,19.5,,,2.83,-2.369999885559082,2.83
LCID,short_straddle_1w,2022-08-25,2022-09-01,2022-09-23,,16.98,15.31,,17.0,,,2.6999998,-2.7200000286102295,2.6999998
