ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPX,short_straddle_hold,2023-03-03,2023-04-03,2023-04-03,,4036.49,4121.92,,4050.0,,,157.59,-71.919921875,157.59
SPY,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,397.04,410.98,,399.0,,,17.51,-19.020000457763672,17.51
QQQ,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,309.2,320.0,,311.0,,,17.060001,-17.369998931884766,17.060001
TSLA,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,192.87,194.77,,197.5,,,30.06,-25.470001220703125,30.06
IWM,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,174.09,178.47,,175.0,,,10.23,-9.170000076293945,10.23
NVDA,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,265.19,279.56,,270.0,,,29.38,-26.34000015258789,29.38
AAPL,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,158.66,166.0,,160.0,,,10.0,-10.5,10.0
AMZN,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,98.34,102.5,,100.0,,,10.37,-9.829999923706055,10.37
AMD,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,96.97,96.38,,98.0,,,11.059999,-8.9399995803833,11.059999
MSFT,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,276.88,286.98,,280.0,,,20.28,-19.06999969482422,20.28
META,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,203.05,213.21,,207.5,,,25.51,-24.15999984741211,25.51
AMC,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,4.51,5.06,,4.5,,,1.6600001,-1.7899999618530273,1.6600001
GOOGL,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,102.78,104.09,,104.0,,,9.32,-8.350000381469727,9.32
TQQQ,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,25.38,28.01,,26.0,,,4.1,-4.149999618530273,4.1
BAC,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,28.48,28.54,,29.0,,,2.5900002,-2.070000171661377,2.5900002
PLTR,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,8.11,8.39,,8.5,,,1.04,-0.8600000143051147,1.04
TLT,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,104.44,106.55,,105.0,,,4.88,-4.430000305175781,4.88
GOOG,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,103.35,104.47,,105.0,,,9.4,-8.229999542236328,9.4
COIN,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,62.58,63.84,,66.0,,,16.939999,-13.719999313354492,16.939999
NFLX,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,328.12,347.04,,335.0,,,42.1,-40.7599983215332,42.1
INTC,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,29.3,32.84,,30.0,,,3.0700002,-3.9600000381469727,3.0700002
SLV,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,21.21,22.04,,21.5,,,1.51,-1.3899999856948853,1.51
MARA,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,7.2,8.48,,7.5,,,2.24,-2.200000047683716,2.24
NIO,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,8.98,9.82,,9.0,,,1.4100001,-1.4800000190734863,1.4100001
F,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,11.57,12.68,,11.5,,,1.09,-1.4800000190734863,1.09
SOFI,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,5.8,6.01,,6.0,,,0.87,-0.7100000381469727,0.87
RIVN,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,13.43,15.16,,14.0,,,2.42,-2.490000009536743,2.42
DIS,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,95.73,99.97,,97.0,,,6.7799997,-6.480000019073486,6.7799997
GLD,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,181.97,184.59,,183.0,,,7.65,-6.470000267028809,7.65
KRE,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,44.16,43.36,,45.0,,,5.41,-4.130000114440918,5.41
C,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,44.91,46.8,,45.0,,,4.27,-3.700000047683716,4.27
SNAP,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,11.79,11.27,,12.5,,,2.6799998,-2.429999828338623,2.6799998
UVXY,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,5.09,4.47,,5.5,,,1.56,-1.5899999141693115,1.56
GDX,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,31.51,33.09,,32.0,,,2.8200002,-2.5299999713897705,2.8200002
SOXL,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,16.06,17.71,,16.5,,,3.6399999,-3.3299999237060547,3.6399999
AI,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,25.66,33.89,,27.0,,,5.81,-9.0,5.81
UBER,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,30.7,31.43,,31.0,,,3.1599998,-2.5899999141693115,3.1599998
PFE,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,40.3,41.42,,41.0,,,2.08,-1.7799999713897705,2.08
RIOT,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,8.11,9.71,,8.5,,,2.22,-2.319999933242798,2.22
XOM,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,106.23,116.06,,107.0,,,7.83,-10.779999732971191,7.83
SHOP,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,45.22,47.72,,46.0,,,6.13,-5.630000114440918,6.13
AAL,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,13.95,14.41,,14.0,,,1.65,-1.4500000476837158,1.65
WFC,short_straddle_1w,2023-03-27,2023-04-03,2023-04-28,,37.59,37.7,,38.0,,,3.49,-2.679999828338623,3.49
