ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_hold,2022-04-01,2022-05-02,2022-05-02,,450.54,412.5,,451.0,,,16.89,-38.5,16.89
SPY,long_call_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,450.54,412.5,,451.0,,452.0,-2.7200003,0.3199999928474426,19.279999
SPY,long_straddle_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,450.54,412.5,,451.0,,452.0,-6.250001,1.5799980163574219,40.03
QQQ,short_straddle_hold,2022-04-01,2022-05-02,2022-05-02,,359.38,316.48,,360.0,,,18.86,-43.519989013671875,18.86
QQQ,long_call_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,359.38,316.48,,360.0,,360.0,-3.2999992,0.28999999165534973,21.58
QQQ,long_straddle_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,359.38,316.48,,360.0,,360.0,-6.489999,0.5900115966796875,44.21
SPX,short_straddle_hold,2022-04-01,2022-05-02,2022-05-02,,4518.13,4136.48,,4525.0,,,168.66,-388.52001953125,168.66
IWM,short_straddle_hold,2022-04-01,2022-05-02,2022-05-02,,206.69,185.92,,207.0,,,10.65,-21.080001831054688,10.65
IWM,long_call_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,206.69,185.92,,207.0,,207.0,-1.8200002,0.20999999344348907,12.139999
IWM,long_straddle_calendar_30_60,2022-04-01,2022-05-02,2022-05-02,2022-05-20,206.69,185.92,,207.0,,207.0,-3.6200004,0.3699970245361328,24.919998
SPY,short_straddle_1w,2022-04-25,2022-05-02,2022-05-25,,427.92,412.5,,430.0,,,23.02,-25.380001068115234,23.02
QQQ,short_straddle_1w,2022-04-25,2022-05-02,2022-05-25,,328.59,316.48,,330.0,,,23.68,-23.829999923706055,23.68
SPX,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,4287.0,4136.48,,4300.0,,,241.1,-259.91998291015625,241.1
TSLA,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,989.445,892.7,,1005.0,,,139.11,-157.07998657226562,139.11
AAPL,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,162.42,157.035,,165.0,,,14.280001,-13.059999465942383,14.280001
AMD,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,89.985,88.69,,92.0,,,14.17,-13.360000610351562,14.17
NVDA,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,197.459,192.9,,200.0,,,32.5,-31.869998931884766,32.5
VIX,short_straddle_1w,2022-04-25,2022-05-02,2022-05-25,,27.1284,32.5677,,29.0,,,8.24,-8.15999984741211,8.24
EEM,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,42.09,42.27,,42.0,,,2.5700002,-2.5199999809265137,2.5700002
AMC,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,16.805,15.02,,18.0,,,4.74,-5.039999961853027,4.74
F,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,15.165,14.185,,15.5,,,1.98,-1.850000023841858,1.98
MSFT,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,280.19,282.64,,280.0,,,25.45,-21.630001068115234,25.45
NIO,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,17.2732,17.3101,,18.0,,,3.9299998,-3.549999952316284,3.9299998
UVXY,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,15.06,18.19,,17.0,,,6.45,-6.369999885559082,6.45
SLV,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,21.85,20.865,,22.0,,,1.39,-1.6699999570846558,1.39
BAC,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,37.28,36.02,,38.0,,,3.12,-3.2100000381469727,3.12
SNAP,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,29.56,29.22,,30.0,,,4.9700003,-4.929999828338623,4.9700003
NFLX,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,209.04,197.48,,210.0,,,27.25,-26.760000228881836,27.25
TLT,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,121.41,117.23,,122.0,,,6.56,-7.239999771118164,6.56
XOM,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,82.385,86.265,,82.0,,,7.43,-7.639999866485596,7.43
INTC,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,46.98,44.64,,47.0,,,4.74,-3.9000000953674316,4.74
AAL,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,19.995,18.43,,20.5,,,2.78,-2.9600000381469727,2.78
OXY,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,55.06,58.22,,56.0,,,9.139999,-8.84000015258789,9.139999
SOFI,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,6.505,6.25,,7.0,,,1.6199999,-1.5099999904632568,1.6199999
T,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,19.5615,19.07,,19.5,,,1.23,-1.1800000667572021,1.23
PLTR,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,12.1,10.68,,12.5,,,2.3899999,-2.5799999237060547,2.3899999
SQQQ,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,43.81,47.657,,46.0,,,11.15,-11.039999961853027,11.15
LQD,short_straddle_1w,2022-04-25,2022-05-02,2022-05-27,,114.721,111.632,,114.5,,,3.47,-4.039999961853027,3.47
