ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
XSP,short_straddle_hold,2024-05-31,2024-07-01,2024-07-01,,526.86,546.778,,525.0,,,13.870001,-21.77801513671875,13.870001
SPY,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,543.98,544.67,,548.0,,,14.469999,-11.420000076293945,14.469999
QQQ,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,475.41,481.0,,479.0,,,17.880001,-15.379999160766602,17.880001
NVDA,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,119.47,123.78,,122.0,,,15.620001,-11.920000076293945,15.620001
TSLA,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,183.38,210.73,,185.0,,,22.619999,-32.38999938964844,22.619999
IWM,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,201.84,201.28,,203.0,,,8.530001,-7.020000457763672,8.530001
AAPL,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,208.31,215.91,,210.0,,,9.82,-10.84000015258789,9.82
AMD,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,161.45,156.93,,165.0,,,16.44,-15.25,16.44
AMZN,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,186.45,196.75,,190.0,,,13.33,-14.300000190734863,13.33
PLTR,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,24.27,25.86,,24.5,,,2.3200002,-2.3999998569488525,2.3200002
TLT,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,94.22,89.97,,94.5,,,2.99,-4.850000381469727,2.99
META,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,497.51,503.66,,505.0,,,52.02,-48.380001068115234,52.02
MARA,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,18.73,22.7,,19.5,,,4.1,-4.599999904632568,4.1
INTC,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,30.77,30.76,,31.0,,,3.1599998,-2.9499998092651367,3.1599998
MSFT,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,447.75,455.28,,450.0,,,23.810001,-22.610000610351562,23.810001
SLV,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,27.02,26.86,,27.5,,,1.96,-1.590000033378601,1.96
GOOGL,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,179.29,182.64,,180.0,,,12.38,-11.979999542236328,12.38
SOFI,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,6.53,6.47,,6.5,,,0.65,-0.550000011920929,0.65
TQQQ,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,72.52,74.59,,73.0,,,7.8199997,-7.010000228881836,7.8199997
GME,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,23.36,23.63,,25.5,,,7.26,-7.099999904632568,7.26
COIN,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,212.69,235.59,,220.0,,,35.559998,-31.78999900817871,35.559998
SQQQ,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,8.61,8.16,,8.5,,,0.96000004,-0.8400000333786011,0.96000004
MU,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,139.9,130.67,,143.0,,,23.0,-15.449999809265137,23.0
PFE,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,28.27,28.21,,28.0,,,1.46,-1.4300000667572021,1.46
SOXL,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,54.33,54.58,,56.0,,,11.02,-9.140000343322754,11.02
BAC,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,40.11,39.97,,40.0,,,2.33,-2.0199999809265137,2.33
AMC,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,4.5,5.12,,4.5,,,1.05,-1.0399999618530273,1.05
HOOD,short_straddle_1w,2024-06-24,2024-07-01,2024-07-26,,21.57,22.7,,22.0,,,3.0700002,-2.690000057220459,3.0700002
