ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_hold,2020-10-02,2020-11-02,2020-11-02,,334.77,328.99,,336.0,,,17.73,-7.010009765625,17.73
SPY,long_call_calendar_30_60,2020-10-02,2020-11-02,2020-11-02,2020-11-20,334.77,328.99,,336.0,,336.0,-4.25,6.53000020980835,20.77
SPY,long_straddle_calendar_30_60,2020-10-02,2020-11-02,2020-11-02,2020-11-20,334.77,328.99,,336.0,,336.0,-8.47,12.999990463256836,43.93
AAPL,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,114.76,107.94,,116.0,,,12.33,-11.860000610351562,12.33
NIO,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,26.01,33.15,,27.0,,,5.84,-8.550000190734863,5.84
MSFT,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,209.07,200.89,,210.0,,,19.89,-17.610000610351562,19.89
SLV,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,22.62,22.39,,23.0,,,2.35,-2.320000171661377,2.35
VXX,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,24.3,25.89,,26.0,,,7.48,-7.510000228881836,7.48
BABA,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,306.87,309.75,,310.0,,,32.55,-31.520000457763672,32.55
GLD,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,178.61,177.85,,179.0,,,7.91,-7.869999885559082,7.91
XLF,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,24.59,24.27,,24.5,,,1.86,-1.8599998950958252,1.86
GE,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,7.31,7.49,,7.5,,,1.04,-0.8799999952316284,1.04
NVDA,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,523.9,500.26,,530.0,,,66.55,-65.00999450683594,66.55
SNAP,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,41.39,40.56,,42.0,,,5.8,-5.190000057220459,5.8
F,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,8.01,7.68,,8.0,,,0.94,-0.7700000405311584,0.94
GDX,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,38.2,38.52,,38.5,,,3.65,-3.619999885559082,3.65
INTC,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,46.61,44.34,,46.5,,,3.5900002,-3.81000018119812,3.5900002
T,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,27.28,27.28,,27.5,,,1.5,-1.4200000762939453,1.5
XOM,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,33.24,33.97,,33.0,,,3.74,-3.4600000381469727,3.74
XLE,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,29.22,29.72,,29.5,,,3.06,-3.2300000190734863,3.06
JD,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,81.21,81.94,,82.0,,,10.139999,-9.489999771118164,10.139999
UAL,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,35.25,33.66,,36.0,,,6.21,-5.840000152587891,6.21
PLTR,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,9.94,10.52,,10.0,,,1.6800001,-1.9100000858306885,1.6800001
TLRY,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,5.88,6.58,,6.0,,,1.6800001,-1.6099998950958252,1.6800001
DKNG,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,39.72,35.69,,42.0,,,9.78,-9.470000267028809,9.78
OXY,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,9.43,9.65,,10.0,,,1.83,-1.7799999713897705,1.83
GOLD,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,26.6,27.06,,27.0,,,2.67,-2.5399999618530273,2.67
VZ,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,57.59,57.58,,58.0,,,2.65,-2.570000171661377,2.65
COST,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,369.58,363.38,,370.0,,,23.0,-21.979999542236328,23.0
SPXS,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,5.54,5.94,,6.0,,,1.31,-1.2300000190734863,1.31
AMC,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,2.78,2.15,,3.0,,,1.17,-1.2100000381469727,1.17
NKE,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,128.01,121.93,,129.0,,,9.4,-10.470000267028809,9.4
CHWY,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,63.39,60.34,,65.0,,,9.42,-9.360000610351562,9.42
CAT,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,162.87,162.88,,165.0,,,14.53,-13.430000305175781,14.53
FCEL,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,2.25,2.15,,2.5,,,0.57,-0.6200000047683716,0.57
JMIA,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,17.95,15.96,,20.0,,,6.9300003,-6.5,6.9300003
XPEV,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,19.49,20.81,,20.0,,,4.13,-4.369999885559082,4.13
GSX,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,67.87,65.14,,70.0,,,14.040001,-10.75,14.040001
LI,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,19.02,22.8,,20.0,,,3.8600001,-4.679999828338623,3.8600001
SPG,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,64.45,64.38,,65.0,,,8.2300005,-8.030000686645508,8.2300005
PEP,short_straddle_1w,2020-10-26,2020-11-02,2020-11-27,,137.39,134.67,,138.0,,,7.66,-8.489999771118164,7.66
BILI,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,44.87,44.04,,45.0,,,5.83,-5.789999961853027,5.83
MARA,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,2.54,2.1,,3.0,,,1.24,-1.209999918937683,1.24
ENPH,short_straddle_1w,2020-10-26,2020-11-02,2020-11-20,,103.03,103.36,,105.0,,,22.93,-17.709999084472656,22.93
