ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_hold,2021-07-02,2021-08-02,2021-08-02,,433.71,437.64,,434.0,,,10.5,-3.6400146484375,10.5
SPY,long_call_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-20,433.71,437.64,,434.0,,434.0,-2.2400002,4.209985256195068,12.52
SPY,long_straddle_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-20,433.71,437.64,,434.0,,434.0,-4.4,8.369985580444336,25.400002
QQQ,short_straddle_hold,2021-07-02,2021-08-02,2021-08-02,,358.57,364.2,,358.0,,,12.969999,-6.20001220703125,12.969999
QQQ,long_call_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-20,358.57,364.2,,358.0,,359.0,-1.8000002,2.7599878311157227,15.38
QQQ,long_straddle_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-20,358.57,364.2,,358.0,,359.0,-4.5600004,6.509987831115723,30.5
SPX,short_straddle_hold,2021-07-02,2021-08-02,2021-08-02,,4348.64,4388.23,,4350.0,,,105.27,-38.22998046875,105.27
SPX,long_call_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-31,4348.64,4388.23,,4350.0,,4350.0,-32.960003,55.19001770019531,137.98
SPX,long_straddle_calendar_30_60,2021-07-02,2021-08-02,2021-08-02,2021-08-31,4348.64,4388.23,,4350.0,,4350.0,-70.15,115.33001708984375,280.69
SPY,short_straddle_1w,2021-07-26,2021-08-02,2021-08-25,,440.51,437.64,,440.0,,,12.889999,-11.360000610351562,12.889999
QQQ,short_straddle_1w,2021-07-26,2021-08-02,2021-08-25,,368.1,364.2,,368.0,,,13.8,-11.940000534057617,13.8
TSLA,short_straddle_1w,2021-07-26,2021-08-02,2021-08-27,,658.59,708.24,,665.0,,,80.26,-77.52000427246094,80.26
SPX,short_straddle_1w,2021-07-26,2021-08-02,2021-08-27,,4413.96,4388.23,,4415.0,,,137.54001,-122.27000427246094,137.54001
IWM,short_straddle_1w,2021-07-26,2021-08-02,2021-08-27,,220.11,220.28,,221.0,,,12.09,-11.069999694824219,12.09
AMD,short_straddle_1w,2021-07-26,2021-08-02,2021-08-27,,91.78,108.63,,92.0,,,8.6,-17.84000015258789,8.6
PLTR,short_straddle_1w,2021-07-26,2021-08-02,2021-08-27,,22.1,22.09,,22.0,,,2.73,-2.5999999046325684,2.73
