ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,436.22,453.02,,438.0,,,26.09,-23.829999923706055,26.09
QQQ,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,347.13,365.24,,349.0,,,27.14,-25.010000228881836,27.14
SPX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,4370.58,4543.66,,4385.0,,,261.46,-239.61000061035156,261.46
TSLA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,931.14,931.628,,955.0,,,176.79001,-118.01000213623047,176.79001
AAPL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,161.08,174.43,,160.0,,,14.110001,-16.44999885559082,14.110001
AMD,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,112.25,116.26,,115.0,,,18.59,-15.699999809265137,18.59
NVDA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,225.49,245.41,,230.0,,,34.739998,-32.40999984741211,34.739998
VIX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-23,,27.8273,22.6627,,32.5,,,12.36,-11.679999351501465,12.36
TQQQ,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,54.39,62.8608,,57.5,,,12.4,-10.820000648498535,12.4
AMC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,16.12,16.88,,17.0,,,5.08,-4.130000114440918,5.08
F,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,20.1,20.675,,20.5,,,2.85,-2.3400001525878906,2.85
MSFT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,291.05,307.9,,295.0,,,29.8,-21.15999984741211,29.8
FXI,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,37.835,38.09,,38.0,,,2.5700002,-2.1999998092651367,2.5700002
NIO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,24.075,24.7693,,25.0,,,4.69,-3.619999885559082,4.69
SLV,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,22.055,20.95,,22.0,,,1.3199999,-1.4600000381469727,1.3199999
BAC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,45.45,47.08,,46.0,,,3.38,-2.759999990463257,3.38
XLE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,65.445,68.155,,66.0,,,5.41,-4.760000228881836,5.41
XLF,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,38.57,39.67,,38.5,,,2.52,-2.119999885559082,2.52
PBR,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,13.25,13.845,,13.5,,,1.36,-1.2999999523162842,1.36
SNAP,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,31.0,33.6,,32.0,,,7.07,-6.880000114440918,7.07
NFLX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,370.8,456.795,,375.0,,,39.65,-85.3499984741211,39.65
TLT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,142.03,141.78,,142.0,,,5.05,-4.420000076293945,5.05
XOM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,75.04,80.595,,75.0,,,5.87,-6.680000305175781,5.87
ARKK,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,71.66,76.795,,73.0,,,11.27,-9.389999389648438,11.27
INTC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,51.305,48.915,,51.0,,,5.45,-3.7899999618530273,5.45
AAL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,16.5,16.785,,16.5,,,2.17,-1.7000000476837158,2.17
OXY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,37.045,39.2,,38.0,,,5.37,-4.650000095367432,5.37
SOFI,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,12.87,13.19,,13.5,,,3.23,-2.429999828338623,3.23
T,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,26.465,24.52,,26.5,,,1.85,-2.1999998092651367,1.85
PLTR,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,13.265,14.1822,,13.5,,,2.71,-2.3899998664855957,2.71
UBER,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,35.035,38.475,,36.0,,,5.74,-5.5,5.74
CCL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,20.285,20.87,,20.5,,,2.81,-2.3600001335144043,2.81
VXX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,23.68,20.04,,26.0,,,8.440001,-7.800000190734863,8.440001
DIS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,136.875,144.45,,140.0,,,12.29,-10.789999961853027,12.29
C,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,64.31,66.505,,64.0,,,4.87,-4.109999656677246,4.87
DKNG,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,19.5,23.5801,,20.0,,,4.4700003,-4.950000286102295,4.4700003
CHPT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,12.6,14.19,,13.0,,,2.5900002,-2.3899998664855957,2.5900002
BA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,204.59,208.48,,205.0,,,21.599998,-16.43000030517578,21.599998
MARA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,22.43,25.085,,24.0,,,7.1499996,-5.470000267028809,7.1499996
JPM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,146.43,151.305,,145.0,,,10.23,-9.829999923706055,10.23
PFE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,52.545,53.045,,53.0,,,4.83,-4.079999923706055,4.83
WFC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,53.585,55.775,,54.0,,,4.39,-3.619999885559082,4.39
TLRY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,5.7834,6.18,,6.0,,,1.31,-1.090000033378601,1.31
HOOD,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,13.19,14.64,,14.0,,,3.81,-2.7300000190734863,3.81
GM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,52.15,54.195,,53.0,,,6.3,-5.349999904632568,6.3
BITO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,23.34,24.35,,24.0,,,4.48,-3.240000009536743,4.48
ET,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,9.3301,9.805,,9.5,,,0.93,-0.75,0.93
FCX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,39.695,38.9442,,40.0,,,5.09,-3.7800002098083496,5.09
CLF,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,16.91,18.31,,17.0,,,3.1,-2.7200000286102295,3.1
VZ,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,52.895,53.255,,53.0,,,2.5,-1.9100000858306885,2.5
ROKU,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,153.515,165.805,,160.0,,,33.0,-29.530000686645508,33.0
CVX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,132.42,135.0,,132.0,,,9.45,-7.630000114440918,9.45
ZM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,147.27,154.87,,150.0,,,24.47,-19.84000015258789,24.47
PLUG,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,19.92,22.75,,21.0,,,4.39,-4.130000114440918,4.39
RIOT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,14.8775,16.71,,16.0,,,4.63,-3.5900001525878906,4.63
KO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,59.84,60.505,,60.0,,,2.9,-2.4200000762939453,2.9
DAL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,38.775,40.485,,39.0,,,4.04,-3.380000114440918,4.04
GOLD,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,19.505,19.08,,19.5,,,1.76,-1.4199999570846558,1.76
NCLH,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,20.81,21.565,,21.0,,,3.33,-2.6100001335144043,3.33
PTON,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,26.7701,27.86,,28.0,,,6.91,-6.480000019073486,6.91
DOCU,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,118.51,127.13,,120.0,,,18.5,-15.609999656677246,18.5
MRNA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,155.29,172.41,,160.0,,,30.93,-29.139999389648438,30.93
XOP,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,106.94,110.835,,108.0,,,12.97,-10.680000305175781,12.97
TGT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,215.12,219.21,,215.0,,,15.67,-12.0,15.67
SBUX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,97.425,98.7,,98.0,,,8.15,-7.289999961853027,8.15
NKE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,145.815,148.06,,145.0,,,11.15,-8.579999923706055,11.15
RIG,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,3.42,3.515,,3.5,,,0.66999996,-0.6000000238418579,0.66999996
ORCL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,81.4,81.085,,82.0,,,5.8100004,-4.230000019073486,5.8100004
CMCSA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,49.72,49.945,,50.0,,,4.34,-2.509999990463257,4.34
SNOW,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,267.0,284.3,,275.0,,,45.5,-33.470001220703125,45.5
SPCE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,8.555,9.6199,,9.0,,,2.21,-2.0,2.21
SMH,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,266.69,276.15,,270.0,,,26.52,-20.630001068115234,26.52
HD,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,359.85,368.725,,360.0,,,27.71,-23.360000610351562,27.71
FUBO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,9.99,11.245,,10.5,,,2.3799999,-2.240000009536743,2.3799999
TBT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,18.275,18.25,,18.5,,,1.36,-1.190000057220459,1.36
IBM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,136.59,135.77,,136.0,,,8.68,-6.220000267028809,8.68
LI,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,25.615,27.19,,26.0,,,4.44,-3.8400001525878906,4.44
JNJ,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,167.4,170.72,,165.0,,,8.08,-7.889999866485596,8.08
MOS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,40.5,43.555,,41.0,,,5.1099997,-5.039999961853027,5.1099997
SIRI,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,6.065,6.725,,6.0,,,0.59000003,-0.9200000166893005,0.59000003
AA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,61.35,58.1075,,62.0,,,9.1,-7.349999904632568,9.1
FDX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,244.73,252.31,,245.0,,,17.64,-14.859999656677246,17.64
AMAT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,134.33,138.075,,135.0,,,17.34,-13.980000495910645,17.34
PG,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,159.5,160.025,,160.0,,,7.5,-5.639999866485596,7.5
CVS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,102.895,106.105,,103.0,,,7.3500004,-6.820000171661377,7.3500004
ATER,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,3.025,3.425,,4.0,,,1.58,-1.1100000143051147,1.58
QS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,15.485,17.465,,16.0,,,4.12,-3.739999771118164,4.12
XLY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,180.37,186.07,,181.0,,,13.98,-11.569999694824219,13.98
AGNC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,15.0199,14.635,,15.0,,,0.89,-0.6499999761581421,0.89
BTU,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,11.025,12.0117,,11.0,,,2.37,-2.129999876022339,2.37
ZIM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,57.5984,68.84,,60.0,,,8.26,-10.380000114440918,8.26
APA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,33.365,34.73,,34.0,,,5.19,-4.380000114440918,5.19
ETSY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,146.605,152.13,,150.0,,,28.05,-21.450000762939453,28.05
JETS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,20.88,21.615,,21.0,,,1.99,-1.7599999904632568,1.99
NU,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,7.325,7.525,,7.5,,,1.06,-0.7899999618530273,1.06
UPS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,202.24,231.66,,205.0,,,17.95,-27.619998931884766,17.95
BB,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,8.15,8.155,,8.5,,,1.46,-1.0800000429153442,1.46
FCEL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,3.905,4.445,,4.0,,,0.96999997,-0.9300000071525574,0.96999997
AR,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,18.415,20.0,,19.0,,,2.98,-2.7799999713897705,2.98
VLO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,81.12,86.3,,81.0,,,7.7300005,-7.340000152587891,7.7300005
SPXS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,20.93,18.56,,22.0,,,4.0,-3.990000009536743,4.0
RKT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,13.2,12.295,,13.5,,,1.9200001,-2.0299999713897705,1.9200001
AXP,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,173.69,183.762,,175.0,,,13.38,-13.269999504089355,13.38
JBLU,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,13.805,14.76,,14.0,,,1.55,-1.309999942779541,1.55
NLY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,7.75,7.88,,8.0,,,0.51,-0.30000001192092896,0.51
TIP,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,126.0,125.33,,126.0,,,2.19,-1.7699999809265137,2.19
EBAY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,58.2,60.355,,59.0,,,6.38,-5.409999847412109,6.38
RTX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,90.5,90.77,,90.0,,,5.91,-4.380000114440918,5.91
HUT,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,5.535,6.505,,6.0,,,1.49,-1.4600000381469727,1.49
TXN,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,175.3,180.867,,175.0,,,15.639999,-11.65000057220459,15.639999
CVE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,14.62,15.09,,15.0,,,1.85,-1.4800000190734863,1.85
HTZ,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,18.33,19.93,,20.0,,,4.19,-3.059999942779541,4.19
MPW,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,22.83,22.8193,,23.0,,,1.25,-1.0099999904632568,1.25
NEE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,75.47,77.385,,75.0,,,5.09,-4.550000190734863,5.09
NOK,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,5.59,5.935,,5.5,,,0.6,-0.6800000071525574,0.6
EPD,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,24.235,23.7016,,24.0,,,1.46,-1.0699999332427979,1.46
FANG,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,127.81,130.17,,130.0,,,15.95,-12.529999732971191,15.95
DNA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,4.9101,6.155,,5.0,,,1.27,-1.7300000190734863,1.27
XP,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,31.08,33.69,,32.0,,,4.31,-3.940000057220459,4.31
LRCX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,594.71,587.715,,600.0,,,76.42,-50.709999084472656,76.42
PSX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,86.06,87.45,,86.0,,,8.13,-6.640000343322754,8.13
CSX,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,33.8,34.7,,34.0,,,2.34,-1.8600000143051147,2.34
APPS,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,40.03,45.11,,42.0,,,9.71,-9.030000686645508,9.71
JMIA,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,8.015,9.395,,8.5,,,2.21,-2.2100000381469727,2.21
SPXL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,110.36,123.16,,110.0,,,18.25,-17.720001220703125,18.25
RUN,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,26.47,25.87,,30.0,,,6.95,-5.869999885559082,6.95
VRM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,7.835,8.4,,7.5,,,1.89,-1.7200000286102295,1.89
BOIL,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,29.58,46.13,,30.0,,,6.25,-16.850000381469727,6.25
UMC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,10.3,9.695,,10.0,,,0.92999995,-0.7699999809265137,0.92999995
TIGR,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,4.3,4.415,,5.0,,,1.04,-0.9299999475479126,1.04
HSBC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,34.57,36.895,,35.0,,,2.7,-2.950000047683716,2.7
DNN,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,1.2,1.24,,1.5,,,0.36,-0.3199999928474426,0.36
CF,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,72.055,74.4547,,73.0,,,8.76,-7.46999979019165,8.76
MGM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,42.19,44.18,,43.0,,,5.1800003,-4.289999961853027,5.1800003
BEKE,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,20.495,21.725,,20.0,,,4.1499996,-3.4800000190734863,4.1499996
SVXY,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,53.7,58.05,,54.0,,,7.75,-7.339999675750732,7.75
VST,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,21.85,21.685,,22.0,,,1.72,-1.2899999618530273,1.72
TCOM,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,25.395,27.055,,26.0,,,3.26,-2.740000009536743,3.26
SBLK,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,20.2627,23.88,,21.0,,,2.65,-3.359999895095825,2.65
MAR,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,157.77,163.17,,160.0,,,15.549999,-12.870000839233398,15.549999
MLCO,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,10.885,10.83,,11.0,,,1.66,-1.25,1.66
LAC,short_straddle_1w,2022-01-25,2022-02-01,2022-02-18,,25.54,26.885,,25.0,,,4.63,-4.150000095367432,4.63
ACN,short_straddle_1w,2022-01-25,2022-02-01,2022-02-25,,336.8,353.33,,340.0,,,26.6,-24.18000030517578,26.6
SPY,short_straddle_hold,2022-01-03,2022-02-02,2022-02-02,,477.25,457.6,,478.0,,,13.52,-20.399993896484375,13.52
SPY,long_call_calendar_30_60,2022-01-03,2022-02-02,2022-02-02,2022-03-18,477.25,457.6,,478.0,,478.0,-5.9000006,2.3499999046325684,18.8
SPY,long_straddle_calendar_30_60,2022-01-03,2022-02-02,2022-02-02,2022-03-18,477.25,457.6,,478.0,,478.0,-12.3,5.77000617980957,39.34
QQQ,short_straddle_hold,2022-01-03,2022-02-02,2022-02-02,,401.32,368.49,,402.0,,,15.99,-33.510009765625,15.99
QQQ,long_call_calendar_30_60,2022-01-03,2022-02-02,2022-02-02,2022-03-18,401.32,368.49,,402.0,,402.0,-6.57,1.2000000476837158,21.95
IWM,short_straddle_hold,2022-01-03,2022-02-02,2022-02-02,,224.66,201.29,,225.0,,,9.92,-23.710006713867188,9.92
IWM,long_call_calendar_30_60,2022-01-03,2022-02-02,2022-02-02,2022-03-18,224.66,201.29,,225.0,,226.0,-2.9199996,0.33000001311302185,12.559999
VIX,short_straddle_hold,2022-01-04,2022-02-02,2022-02-02,,20.438,21.9147,,21.0,,,5.05,-0.9146995544433594,5.05
VIX,long_call_calendar_30_60,2022-01-04,2022-02-02,2022-02-02,2022-03-15,20.438,21.9147,,21.0,,25.0,-0.8900001,2.065300464630127,5.4700003
VIX,long_straddle_calendar_30_60,2022-01-04,2022-02-02,2022-02-02,2022-03-15,20.438,21.9147,,21.0,,25.0,-3.32,6.395300388336182,13.42
