ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPX,short_straddle_hold,2022-12-02,2023-01-03,2023-01-03,,4061.45,3820.86,,4080.0,,,162.97,-259.139892578125,162.97
SPY,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,381.9,380.47,,384.0,,,18.380001,-16.59000015258789,18.380001
QQQ,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,264.1,264.27,,266.0,,,16.62,-14.989999771118164,16.62
TSLA,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,110.34,107.94,,115.0,,,24.3,-20.31999969482422,24.3
AAPL,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,130.3,124.93,,132.0,,,11.24,-11.430000305175781,11.24
AMZN,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,83.28,86.0,,84.0,,,8.53,-8.110000610351562,8.53
IWM,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,173.25,173.11,,174.0,,,9.75,-8.889999389648438,9.75
AMD,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,63.44,63.94,,64.0,,,7.86,-7.019999980926514,7.86
NVDA,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,141.56,143.02,,144.0,,,19.23,-16.849998474121094,19.23
VIX,short_straddle_1w,2022-12-27,2023-01-03,2023-01-25,,24.1111,23.0492,,25.0,,,4.0,-3.990000009536743,4.0
META,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,117.29,124.69,,119.0,,,13.37,-13.75,13.37
TQQQ,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,16.94,16.88,,17.5,,,3.17,-2.8600001335144043,3.17
EEM,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,38.41,38.23,,38.5,,,1.86,-1.6800000667572021,1.86
AMC,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,4.06,3.95,,4.0,,,1.54,-1.2899999618530273,1.54
F,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,11.21,11.66,,11.5,,,1.1,-1.0499999523162842,1.1
MSFT,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,237.37,239.28,,240.0,,,18.93,-17.639999389648438,18.93
NIO,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,10.11,9.66,,10.5,,,2.1100001,-1.9200000762939453,2.1100001
UVXY,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,7.03,6.79,,7.5,,,1.75,-1.5399999618530273,1.75
SLV,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,22.14,22.04,,22.5,,,1.5899999,-1.4900000095367432,1.5899999
BAC,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,32.53,33.53,,33.0,,,2.4,-2.440000057220459,2.4
GOOGL,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,87.55,89.22,,88.0,,,7.2,-6.619999885559082,7.2
SNAP,short_straddle_1w,2022-12-27,2023-01-03,2023-01-27,,8.55,8.8,,9.0,,,1.5,-1.3299999237060547,1.5
