ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPY,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,323.69,335.88,,324.0,,,18.04,-19.979999542236328,18.04
AAPL,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,108.88,116.32,,110.0,,,12.05,-11.180000305175781,12.05
TSLA,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,391.18,447.65,,405.0,,,88.649994,-81.68000030517578,88.649994
VIX,short_straddle_1w,2020-09-24,2020-10-01,2020-10-21,,32.3586,29.9136,,35.0,,,8.28,-7.489999771118164,8.28
NIO,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,17.9,21.78,,18.5,,,4.1800003,-4.820000171661377,4.1800003
AMD,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,75.99,84.68,,77.0,,,9.98,-10.619999885559082,9.98
MSFT,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,203.35,212.07,,205.0,,,17.28,-15.40999984741211,17.28
SLV,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,21.45,22.14,,21.5,,,2.18,-2.0199999809265137,2.18
BAC,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,23.38,23.95,,23.5,,,2.13,-1.8199999332427979,2.13
GLD,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,175.25,178.9,,175.5,,,7.66,-6.680000305175781,7.66
XLF,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,23.26,24.01,,23.5,,,1.61,-1.5,1.61
AAL,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,11.81,12.47,,12.0,,,2.1,-2.119999885559082,2.1
GE,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,6.08,6.19,,6.0,,,0.72,-0.5799999833106995,0.72
DIS,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,122.78,123.14,,123.0,,,8.690001,-7.059999942779541,8.690001
SNAP,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,24.28,26.7,,25.0,,,4.21,-3.9000000953674316,4.21
F,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,6.66,6.71,,6.5,,,0.74,-0.6100000143051147,0.74
GDX,short_straddle_1w,2020-09-24,2020-10-01,2020-10-23,,38.59,39.5,,39.0,,,3.8400002,-3.049999952316284,3.8400002
