ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPX,short_straddle_hold,2024-01-02,2024-02-01,2024-02-01,,4728.74,4902.03,,4760.0,,,121.67,-142.02978515625,121.67
SPY,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,486.99,488.76,,489.0,,,12.17,-11.059999465942383,12.17
QQQ,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,425.56,422.0,,428.0,,,15.190001,-13.629999160766602,15.190001
SPX,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,4881.51,4902.03,,4910.0,,,118.36,-107.61000061035156,118.36
NVDA,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,615.97,630.47,,625.0,,,64.54,-59.130001068115234,64.54
TSLA,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,182.73,188.88,,185.0,,,18.3,-15.030000686645508,18.3
IWM,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,195.41,195.59,,196.5,,,9.05,-8.289999961853027,9.05
AAPL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,193.87,186.78,,195.0,,,9.690001,-11.550000190734863,9.690001
AMZN,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,157.22,158.91,,160.0,,,12.92,-12.869999885559082,12.92
PLTR,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,16.43,16.44,,17.0,,,2.76,-2.5999999046325684,2.76
TLT,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,93.94,98.05,,94.0,,,3.2,-4.900000095367432,3.2
META,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,393.26,395.76,,395.0,,,35.55,-32.72999954223633,35.55
MARA,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,16.27,18.66,,17.0,,,3.81,-3.819999933242798,3.81
MSFT,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,403.94,403.94,,405.0,,,24.8,-15.190000534057617,24.8
SLV,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,20.95,21.21,,21.0,,,1.03,-0.940000057220459,1.03
GOOGL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,151.5,141.2,,152.5,,,10.52,-11.739999771118164,10.52
SOFI,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,7.63,7.71,,8.0,,,1.76,-0.940000057220459,1.76
TQQQ,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,56.16,54.5,,57.0,,,5.91,-5.369999885559082,5.91
COIN,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,120.97,129.36,,125.0,,,21.36,-19.34000015258789,21.36
SQQQ,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,12.04,12.34,,12.0,,,1.3,-1.159999966621399,1.3
RIVN,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,15.05,15.54,,15.5,,,2.88,-2.5799999237060547,2.88
BABA,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,74.02,72.5,,75.0,,,6.88,-6.670000076293945,6.88
PFE,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,27.52,27.23,,28.0,,,1.85,-1.3600000143051147,1.85
SOXL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,37.16,32.64,,38.0,,,6.81,-6.849999904632568,6.81
BAC,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,33.27,33.55,,33.0,,,1.61,-1.6799999475479126,1.61
GLD,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,186.94,190.39,,188.0,,,4.75,-4.900000095367432,4.75
AMC,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,4.12,4.06,,4.5,,,0.99,-0.8899999856948853,0.99
HOOD,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,10.71,10.89,,11.0,,,1.61,-1.5299999713897705,1.61
XLF,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,38.47,38.78,,38.5,,,1.13,-1.159999966621399,1.13
NIO,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,6.05,5.67,,6.0,,,1.03,-0.8799999952316284,1.03
C,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,53.73,56.16,,54.0,,,2.6599998,-3.070000171661377,2.6599998
GDX,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,28.23,29.05,,28.5,,,1.87,-1.7300000190734863,1.87
TSM,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,116.88,113.94,,118.0,,,7.04,-6.610000133514404,7.04
GOOG,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,153.16,142.78,,155.0,,,10.72,-12.59000015258789,10.72
BA,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,200.95,210.12,,205.0,,,16.32,-12.620000839233398,16.32
RIOT,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,10.59,11.29,,11.0,,,2.2,-1.9800000190734863,2.2
F,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,11.32,12.13,,11.5,,,0.99,-1.0699999332427979,0.99
AAL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,15.36,14.36,,15.5,,,1.27,-1.3899999856948853,1.27
ARM,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,74.06,70.5,,75.0,,,11.5,-9.880000114440918,11.5
PYPL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,60.59,61.89,,61.0,,,6.88,-6.050000190734863,6.88
UBER,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,65.66,66.63,,66.0,,,6.8900003,-6.559999942779541,6.8900003
XLE,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,83.44,83.25,,84.0,,,3.75,-3.380000114440918,3.75
JPM,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,172.72,173.69,,175.0,,,6.08,-5.650000095367432,6.08
DIS,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,94.63,96.91,,95.0,,,7.0,-6.940000057220459,7.0
XOM,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,101.93,102.35,,102.0,,,5.5299997,-4.970000267028809,5.5299997
KRE,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,51.83,48.39,,52.0,,,3.27,-4.230000019073486,3.27
SBUX,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,92.25,93.47,,92.0,,,6.3,-3.5300002098083496,6.3
WMT,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,162.55,168.09,,165.0,,,7.51,-8.119999885559082,7.51
CLSK,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,7.26,8.34,,8.0,,,2.22,-2.059999942779541,2.22
SNOW,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,205.18,199.9,,210.0,,,20.5,-18.779998779296875,20.5
CCL,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,16.46,16.77,,16.5,,,1.71,-1.5299999713897705,1.71
XBI,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,88.25,89.0,,89.0,,,6.1499996,-5.399999618530273,6.1499996
LCID,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,2.66,3.38,,3.0,,,0.85,-0.8499999642372131,0.85
ET,short_straddle_1w,2024-01-25,2024-02-01,2024-02-23,,14.29,14.32,,14.0,,,0.57,-0.5799999833106995,0.57
