ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPX,short_straddle_hold,2025-01-31,2025-03-03,2025-03-03,,6050.92,5824.58,,6050.0,,,183.98999,-225.419921875,183.98999
SPX,long_call_calendar_30_60,2025-01-31,2025-03-03,2025-03-03,2025-03-31,6050.92,5824.58,,6050.0,,6075.0,-31.089996,24.18000030517578,215.95
SPX,long_straddle_calendar_30_60,2025-01-31,2025-03-03,2025-03-03,2025-03-31,6050.92,5824.58,,6050.0,,6075.0,-70.50001,57.800079345703125,438.47998
SPY,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,598.72,581.22,,600.0,,,20.69,-25.720001220703125,20.69
QQQ,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,521.97,494.7,,524.0,,,24.060001,-33.470001220703125,24.060001
NVDA,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,131.88,112.98,,135.0,,,19.94,-24.720001220703125,19.94
TSLA,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,331.81,278.5,,335.0,,,42.33,-63.77000045776367,42.33
AAPL,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,247.31,236.91,,250.0,,,13.15,-16.739999771118164,13.15
PLTR,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,90.42,82.88,,93.0,,,15.309999,-15.690000534057617,15.309999
VIX,short_straddle_1w,2025-02-24,2025-03-03,2025-03-26,,17.9525,22.7025,,19.0,,,4.2200003,-4.400000095367432,4.2200003
AMD,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,108.59,97.44,,110.0,,,10.49,-14.520000457763672,10.49
AMZN,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,214.09,203.24,,215.0,,,14.48,-17.209999084472656,14.48
MSTR,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,287.13,247.33,,295.0,,,54.989998,-68.73999786376953,54.989998
SLV,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,29.44,28.7,,29.5,,,1.72,-1.7100000381469727,1.72
INTC,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,24.34,22.59,,25.0,,,3.25,-3.690000057220459,3.25
TLT,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,89.88,92.66,,90.0,,,2.8600001,-3.880000114440918,2.8600001
META,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,669.54,652.36,,675.0,,,47.59,-52.709999084472656,47.59
GOOGL,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,180.25,166.2,,180.0,,,11.49,-16.239999771118164,11.49
SOFI,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,14.41,13.46,,14.5,,,2.0,-2.190000057220459,2.0
HOOD,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,50.39,46.81,,52.0,,,7.7,-9.140000343322754,7.7
MARA,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,13.95,13.57,,15.0,,,3.3700001,-3.370000123977661,3.3700001
MSFT,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,404.66,387.6,,405.0,,,21.55,-25.329999923706055,21.55
TQQQ,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,81.66,68.91,,83.0,,,10.98,-15.84000015258789,10.98
COIN,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,228.39,203.91,,235.0,,,35.059998,-44.0099983215332,35.059998
AVGO,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,210.93,185.59,,215.0,,,27.09,-36.06999969482422,27.09
GME,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,25.12,24.25,,27.0,,,5.48,-5.340000152587891,5.48
SOXL,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,27.3,19.91,,28.5,,,5.95,-9.229999542236328,5.95
OPEN,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,1.42,1.19,,1.5,,,0.42000002,-0.3700000047683716,0.42000002
GOOG,short_straddle_1w,2025-02-24,2025-03-03,2025-03-28,,182.25,168.0,,185.0,,,11.4,-18.670000076293945,11.4
