ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
SPX,short_straddle_hold,2024-12-03,2025-01-02,2025-01-02,,6072.42,5865.45,,6075.0,,,130.89001,-209.5498046875,130.89001
SPX,long_call_calendar_30_60,2024-12-03,2025-01-02,2025-01-02,2025-01-31,6072.42,5865.45,,6075.0,,6100.0,-40.949997,13.8100004196167,169.27
SPX,long_straddle_calendar_30_60,2024-12-03,2025-01-02,2025-01-02,2025-01-31,6072.42,5865.45,,6075.0,,6100.0,-82.02998,32.37019348144531,343.81
SPY,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,601.87,584.18,,605.0,,,14.610001,-22.219999313354492,14.610001
QQQ,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,530.73,509.63,,533.0,,,18.17,-25.75,18.17
NVDA,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,140.24,137.75,,142.0,,,12.75,-12.229999542236328,12.75
TSLA,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,457.91,378.33,,470.0,,,71.18,-95.70999908447266,71.18
AAPL,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,259.47,243.55,,260.0,,,9.809999,-16.899999618530273,9.809999
VIX,short_straddle_1w,2024-12-26,2025-01-02,2025-01-22,,16.075,18.3,,16.5,,,2.75,-2.990000009536743,2.75
AMD,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,125.77,120.79,,125.0,,,10.83,-9.75,10.83
AMZN,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,227.99,219.9,,230.0,,,12.200001,-13.550000190734863,12.200001
PLTR,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,81.82,74.94,,83.0,,,11.02,-10.829999923706055,11.02
META,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,604.92,596.92,,610.0,,,40.0,-36.91999816894531,40.0
MARA,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,19.57,17.13,,20.5,,,4.45,-4.470000267028809,4.45
INTC,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,20.53,20.26,,21.0,,,2.27,-2.0799999237060547,2.27
MSFT,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,439.64,418.45,,440.0,,,18.83,-24.48000144958496,18.83
SLV,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,27.14,26.9,,27.5,,,1.53,-1.3700000047683716,1.53
GOOGL,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,196.34,189.07,,195.0,,,10.47,-10.40999984741211,10.47
SOFI,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,16.65,14.23,,17.0,,,2.3,-3.120000123977661,2.3
COIN,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,275.75,257.66,,280.0,,,43.28,-39.439998626708984,43.28
SQQQ,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,27.83,31.45,,28.0,,,2.95,-4.210000038146973,2.95
BABA,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,86.19,84.91,,87.0,,,6.1,-5.619999885559082,6.1
MSTR,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,342.57,297.61,,355.0,,,74.84,-74.86000061035156,74.84
PFE,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,26.5,26.65,,26.0,,,1.49,-1.3899999856948853,1.49
BAC,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,44.49,44.31,,45.0,,,2.54,-2.5299999713897705,2.54
GLD,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,243.08,245.43,,244.0,,,7.46,-6.599999904632568,7.46
AMC,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,4.05,4.02,,4.0,,,0.74,-0.6399999856948853,0.74
HOOD,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,40.32,39.49,,41.0,,,5.4700003,-4.989999771118164,5.4700003
NIO,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,4.71,4.52,,5.0,,,0.78999996,-0.7599999904632568,0.78999996
GDX,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,34.52,35.2,,35.0,,,2.35,-2.130000114440918,2.35
TSM,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,203.68,200.82,,205.0,,,19.1,-17.93000030517578,19.1
GOOG,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,197.79,190.41,,200.0,,,10.22,-12.010000228881836,10.22
BA,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,180.87,172.39,,180.0,,,13.38,-13.369999885559082,13.38
BITO,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,23.33,23.81,,23.5,,,3.08,-2.6599998474121094,3.08
AVGO,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,245.39,231.83,,250.0,,,22.71,-23.43000030517578,22.71
RIOT,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,11.73,10.38,,12.0,,,2.65,-2.440000057220459,2.65
F,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,10.12,9.68,,10.0,,,0.6,-0.6100000143051147,0.6
AAL,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,17.37,17.0,,17.5,,,1.8499999,-1.75,1.8499999
UBER,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,61.89,63.1,,62.0,,,4.79,-4.420000076293945,4.79
XLE,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,84.38,86.79,,85.0,,,3.64,-3.75,3.64
JPM,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,242.68,241.15,,245.0,,,12.77,-12.600000381469727,12.77
XOM,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,106.27,107.55,,107.0,,,5.0600004,-4.599999904632568,5.0600004
SBUX,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,91.95,92.23,,93.0,,,4.6,-4.380000114440918,4.6
SNAP,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,11.31,11.19,,11.5,,,1.7,-1.5399999618530273,1.7
WMT,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,92.53,90.03,,93.0,,,3.52,-4.0,3.52
CLSK,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,10.5,9.31,,11.0,,,2.5,-2.4200000762939453,2.5
SNOW,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,164.07,156.74,,165.0,,,13.35,-13.680000305175781,13.35
CCL,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,25.77,25.0,,26.0,,,2.03,-1.9800000190734863,2.03
OXY,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,48.1,49.89,,48.0,,,2.9,-3.18999981880188,2.9
T,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,22.96,22.89,,23.0,,,0.99,-0.9200000166893005,0.99
MRVL,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,116.3,113.15,,118.0,,,10.85,-10.300000190734863,10.85
CVS,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,45.02,44.57,,45.0,,,4.12,-3.7100000381469727,4.12
PANW,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,188.85,180.0,,190.0,,,11.5,-13.050000190734863,11.5
MPW,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,3.75,4.06,,4.0,,,0.63,-0.49000000953674316,0.63
CELH,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,27.99,27.08,,29.0,,,4.19,-3.8399999141693115,4.19
CMG,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,61.67,60.02,,62.0,,,3.23,-3.359999895095825,3.23
VZ,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,39.82,40.19,,40.0,,,2.13,-1.9800000190734863,2.13
RBLX,short_straddle_1w,2024-12-26,2025-01-02,2025-01-24,,59.76,58.82,,60.0,,,4.92,-4.460000038146973,4.92
