ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2022-06-01,0.2861555,0.31464753,0.06489632,0.0,0.292897,0.232462,0.22658637,0.22716194,117426200.0,7606696
QQQ,2022-06-01,0.38666302,0.41929772,0.10972551,0.0,0.378976,0.300874,0.29442713,0.29618382,92720056.0,2777508
SPX,2022-06-01,0.25810447,0.3145779,0.06457025,0.0,0.248937,0.23425,0.22537078,0.23023471,0.0,2339868
TSLA,2022-06-01,0.81867856,0.8824826,0.55350006,2.0,0.76184,0.655822,0.6514671,0.6605879,92842150.0,978883
AAPL,2022-06-01,0.4314776,0.49733225,0.13638036,2.0,0.380964,0.320402,0.31923684,0.32787427,114217160.0,1196644
AMZN,2022-06-01,0.58838373,0.5930579,0.2601656,2.0,0.563276,0.460688,0.4439607,0.44316098,106533050.0,450215
IWM,2022-06-01,0.3508228,0.3658154,0.100932084,0.0,0.328663,0.284401,0.28205457,0.27760813,38923696.0,728131
AMD,2022-06-01,0.803414,0.78525347,0.3657606,2.0,0.637693,0.55831,0.55904275,0.5652939,137992820.0,432958
NVDA,2022-06-01,0.7962228,0.7874053,0.34651965,2.0,0.669054,0.543806,0.53361964,0.52567905,658587840.0,440522
HYG,2022-06-01,0.11102603,0.13320148,0.016577505,2.0,0.128164,0.114697,0.109773144,0.11228029,62389316.0,1293624
VIX,2022-06-01,1.2250998,1.372905,0.9306471,7.0,0.884949,0.9000088,0.84792733,0.8186767,0.0,375696
TQQQ,2022-06-01,1.1539143,1.2639757,0.88816714,2.0,1.077814,0.888582,0.86736876,0.8648907,414956450.0,427371
EEM,2022-06-01,0.2698645,0.27375168,0.055220924,2.0,0.260311,0.212977,0.22007754,0.22497569,60373424.0,332920
AMC,2022-06-01,1.4660594,1.3067756,2.6448946,2.0,1.983845,1.49023,1.4831507,1.4714919,5240601.5,377891
BABA,2022-06-01,0.70775527,0.78921723,0.4224467,2.0,0.703705,0.582985,0.5469254,0.5484016,24098284.0,161131
MSFT,2022-06-01,0.38638598,0.378567,0.110676736,2.0,0.337179,0.291719,0.29535016,0.30079773,35966544.0,268626
NIO,2022-06-01,1.067332,1.0892283,0.929443,2.0,1.084774,0.886718,0.8520637,0.84259486,70424390.0,343364
SLV,2022-06-01,0.2600779,0.3017036,0.08812047,2.0,0.305429,0.263908,0.2594438,0.26611578,29939848.0,102205
BAC,2022-06-01,0.39707264,0.3780652,0.13198224,2.0,0.352213,0.315773,0.3148872,0.31952518,57516916.0,258291
XLE,2022-06-01,0.39556202,0.4328345,0.1347828,2.0,0.393572,0.332413,0.33400062,0.33407006,82504616.0,200100
XLF,2022-06-01,0.29606268,0.29163685,0.073508136,2.0,0.29569,0.248488,0.2443661,0.24585237,82473190.0,114289
GOOGL,2022-06-01,0.46445733,0.41736385,0.13440357,2.0,0.386322,0.332328,0.33616078,0.34913236,40854172.0,114810
PBR,2022-06-01,0.5094427,0.59475356,0.26394528,2.0,0.505391,0.47903,0.4634903,0.4890096,52143700.0,60788
SNAP,2022-06-01,1.771997,2.1419628,0.8526958,2.0,1.015846,0.8573,0.81336266,0.8332177,59074396.0,205673
NFLX,2022-06-01,0.62013483,0.6618713,0.3443992,2.0,0.643415,0.525356,0.5162813,0.54232556,116875950.0,151644
TLT,2022-06-01,0.20989265,0.216168,0.04287156,2.0,0.240471,0.197108,0.18599607,0.18320692,26578258.0,193110
EFA,2022-06-01,0.22599804,0.25293416,0.050743997,2.0,0.214319,0.173896,0.166567,0.17148699,37926188.0,254641
EWZ,2022-06-01,0.3620268,0.34829748,0.15132125,2.0,0.359661,0.339458,0.3293831,0.33992937,39023964.0,172386
GLD,2022-06-01,0.13327345,0.13153864,0.026846534,2.0,0.155832,0.138015,0.13980311,0.14292483,8214445.5,82803
XOM,2022-06-01,0.36915722,0.39402026,0.122576475,2.0,0.37765,0.321171,0.32192016,0.33207774,35036896.0,171650
ARKK,2022-06-01,0.91543025,0.9714975,0.61883897,2.0,0.831076,0.735224,0.7093107,0.7003357,42815240.0,183859
INTC,2022-06-01,0.33590275,0.35203725,0.11998879,2.0,0.356858,0.306734,0.2981092,0.3121822,38338396.0,116724
AAL,2022-06-01,0.5960574,0.7705048,0.42276713,2.0,0.703289,0.54484,0.58267015,0.6083973,32112764.0,121701
OXY,2022-06-01,0.63111144,0.64785814,0.36814743,2.0,0.656113,0.549163,0.553648,0.567643,31120608.0,128373
SOFI,2022-06-01,1.0621477,1.1035794,0.75936246,2.0,0.77563,0.810788,0.83091944,0.8308057,54897240.0,98191
T,2022-06-01,0.24376535,0.20479985,0.06858392,2.0,0.241936,0.227638,0.23327899,0.23597874,57274892.0,62793
PLTR,2022-06-01,1.0234975,1.2255508,0.626798,2.0,0.849705,0.700338,0.75500554,0.74853325,53220956.0,80650
UBER,2022-06-01,0.81359154,0.76161927,0.44421685,2.0,0.751972,0.61076,0.6398792,0.6393431,45222052.0,105324
GOOG,2022-06-01,0.45197147,0.40958914,0.13343446,2.0,0.386262,0.329759,0.3380791,0.35237584,34341932.0,43626
CCL,2022-06-01,0.71709716,0.8627935,0.65976536,2.0,0.783104,0.744426,0.77739733,0.77083206,41337028.0,66409
KWEB,2022-06-01,0.6301486,0.6657347,0.39248934,2.0,0.726145,0.607568,0.5910572,0.5863947,30025306.0,74023
DIS,2022-06-01,0.42072988,0.3970596,0.13194525,2.0,0.408097,0.335435,0.31799242,0.33316386,15623240.0,88643
LCID,2022-06-01,0.9939442,1.1557992,1.1843809,2.0,1.001845,0.938638,0.9629533,0.96997756,2608676.0,105772
C,2022-06-01,0.43330124,0.46479377,0.14031571,2.0,0.389819,0.335699,0.3354423,0.34083158,31371992.0,116681
MU,2022-06-01,0.5128922,0.5022053,0.27993062,2.0,0.471757,0.48754,0.4675631,0.45682436,17650192.0,73857
DKNG,2022-06-01,1.0369505,1.1479701,0.7146116,2.0,0.972692,0.800314,0.83914185,0.9158197,27079766.0,45645
PYPL,2022-06-01,0.58758295,0.5725451,0.39711896,2.0,0.674973,0.588742,0.5765644,0.5890195,17654830.0,117603
SHOP,2022-06-01,1.3159101,1.2606243,0.7903715,2.0,0.984228,0.82198,0.81335855,0.81086165,56107764.0,66793
GME,2022-06-01,1.5990198,1.580313,2.272268,2.0,2.60949,1.341985,1.2520704,1.249587,17761162.0,122015
COIN,2022-06-01,2.04719,1.8856266,1.6778173,2.0,1.439675,1.195064,1.128414,1.139679,19996664.0,98676
GDX,2022-06-01,0.37452582,0.40428257,0.14407218,2.0,0.431652,0.352982,0.3207023,0.32886684,23348034.0,54737
SOXL,2022-06-01,1.4502273,1.5397627,1.4030768,2.0,1.305849,1.074748,1.0596583,1.0512189,65940628.0,72471
BA,2022-06-01,0.5751672,0.66567457,0.28167972,2.0,0.557669,0.485458,0.47542682,0.47761425,10778076.0,101699
MARA,2022-06-01,1.3843484,1.3449596,2.1517458,2.0,1.506231,1.357427,1.2929515,1.2982669,12646399.0,115890
JPM,2022-06-01,0.35229376,0.34144878,0.10035601,2.0,0.319628,0.278304,0.30003342,0.29699484,16034062.0,82862
VALE,2022-06-01,0.47730568,0.40304694,0.2032203,2.0,0.443054,0.442997,0.5273323,0.5084216,40241388.0,32936
RBLX,2022-06-01,1.5201807,1.3191125,1.0601206,2.0,1.093851,0.978398,0.9465011,0.9652369,41946012.0,58876
PFE,2022-06-01,0.3075742,0.24180755,0.094774626,2.0,0.369053,0.274889,0.29135463,0.29232416,33131920.0,75115
RIVN,2022-06-01,1.3561586,1.4000838,0.84097695,2.0,1.004701,0.85948,0.85721874,0.8579503,29286478.0,48884
DIA,2022-06-01,0.24198028,0.25229812,0.044221923,2.0,0.217576,0.188836,0.18421699,0.187277,6101486.0,82196
WFC,2022-06-01,0.38962424,0.36884418,0.13823402,2.0,0.381656,0.343729,0.35447782,0.35465527,28533190.0,49899
HOOD,2022-06-01,1.2093408,1.2186097,0.8283169,2.0,1.000449,0.801103,0.82208097,0.8470101,20879188.0,75823
GM,2022-06-01,0.5447272,0.5391186,0.21291156,2.0,0.446565,0.432544,0.41603,0.420155,19420962.0,63089
BITO,2022-06-01,0.8883502,0.8421497,0.76154304,2.0,0.885027,0.754745,0.68411773,0.6958892,31034400.0,94657
WMT,2022-06-01,0.4142334,0.5295461,0.071831234,2.0,0.29504,0.237706,0.24327365,0.24566852,41083396.0,80956
ET,2022-06-01,0.4518392,0.42978474,0.15125187,2.0,0.367618,0.33665,0.33764952,0.34259233,31590200.0,95775
UPST,2022-06-01,3.3187451,3.384143,2.2015712,2.0,1.666945,1.396251,1.381831,1.4390115,16325238.0,92959
FCX,2022-06-01,0.61028594,0.5816895,0.27652287,2.0,0.565063,0.49176,0.47749633,0.49097148,20287592.0,65381
CLF,2022-06-01,0.62930167,0.64107305,0.41485965,2.0,0.647793,0.600805,0.5906653,0.6004641,17737166.0,51252
CSCO,2022-06-01,0.5187423,0.6179666,0.08136708,2.0,0.298343,0.264101,0.25844005,0.2632255,34243710.0,68012
