ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2021-12-01,0.12050018,0.1338806,0.083869845,0.0,0.42042,0.209508,0.20905286,0.2119351,71495160.0,7669665
AAPL,2021-12-01,0.22028714,0.22939616,0.1186044,2.0,0.414845,0.305506,0.28193757,0.2766475,86120350.0,3678506
QQQ,2021-12-01,0.15781713,0.17298734,0.08677993,0.0,0.362268,0.24603,0.25036386,0.24663496,47423350.0,2437575
TSLA,2021-12-01,0.6701363,0.6668101,0.55517715,2.0,0.83152,0.688264,0.69363683,0.6854666,87999530.0,1199719
SPX,2021-12-01,0.099465296,0.13553478,0.08352064,0.0,0.331177,0.221014,0.21735686,0.2033295,0.0,2268093
IWM,2021-12-01,0.22323607,0.20057216,0.15658264,0.0,0.631707,0.332302,0.3056777,0.29306078,37514980.0,1530618
AMC,2021-12-01,0.85957515,0.9637232,2.346538,2.0,1.884634,1.478953,1.4064803,1.3767607,3622497.0,638159
AMD,2021-12-01,0.5533764,0.6107944,0.32535845,2.0,0.686194,0.543101,0.53662825,0.52286524,65822316.0,624660
PLTR,2021-12-01,0.48781592,0.53605914,0.40077934,2.0,0.75013,0.58471,0.569948,0.57134706,43149704.0,332726
VIX,2021-12-01,1.8530228,1.9337876,2.473952,7.0,2.197974,1.5724999,1.3694592,1.2394515,0.0,864887
NIO,2021-12-01,0.6005625,0.5456495,0.60583407,2.0,0.819449,0.710415,0.6819336,0.67600954,42401060.0,310463
NVDA,2021-12-01,0.7379255,0.645715,0.31309116,2.0,0.645894,0.503408,0.514882,0.50999683,526394080.0,509248
AMZN,2021-12-01,0.26904333,0.2911901,0.11046818,2.0,0.35208,0.305005,0.30681115,0.31490567,72346470.0,316093
SLV,2021-12-01,0.26675096,0.21077979,0.10381438,2.0,0.392078,0.300158,0.2700956,0.27239776,25302734.0,238066
MSFT,2021-12-01,0.19078468,0.1709679,0.10381496,2.0,0.319455,0.268409,0.25238642,0.24814722,25426762.0,437843
BABA,2021-12-01,0.49122664,0.52265257,0.3628283,2.0,0.658192,0.552321,0.54981655,0.5310611,22337484.0,293564
