ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2020-02-03,0.124552034,0.1203987,0.029470118,0.0,0.183095,0.15821,0.17035015,0.15421553,72815790.0,2533116
AAPL,2020-02-03,0.24260588,0.27557158,0.08396242,4.0,0.315888,0.27544713,0.27196386,0.266845,146926540.0,816861
QQQ,2020-02-03,0.158167,0.14784744,0.041477155,4.0,0.227375,0.181694,0.18092558,0.17624936,28743590.0,531098
SPX,2020-02-03,0.11146804,0.11820882,0.03078856,0.0,0.1330442,0.15573977,0.15575148,0.1473733,0.0,850301
TSLA,2020-02-03,0.62865293,0.7921717,0.59650654,4.0,0.950585,0.7547746,0.70839286,0.69158196,318548200.0,1173821
IWM,2020-02-03,0.15482785,0.12791894,0.038302325,4.0,0.233001,0.17414671,0.17012343,0.16759753,18906096.0,232579
VIX,2020-02-03,1.7149304,1.3179919,1.253531,2.0,1.614679,1.090815,0.9006902,0.81447285,0.0,430234
NIO,2020-02-03,1.3867178,1.145448,1.8362486,4.0,1.48532,1.3219239,1.2645899,1.2367555,95455340.0,175753
AMD,2020-02-03,0.44247812,0.3680037,0.22240773,4.0,0.466433,0.43776157,0.44990727,0.447851,57040296.0,340168
MSFT,2020-02-03,0.23435156,0.21294291,0.053530596,4.0,0.24006,0.20302986,0.20273913,0.20522699,28422414.0,254584
SLV,2020-02-03,0.2016754,0.20391607,0.04362366,4.0,0.231272,0.206217,0.18327715,0.19534488,14811410.0,179067
EEM,2020-02-03,0.28184983,0.21249308,0.04562546,4.0,0.275184,0.19989671,0.19087443,0.19063629,87744470.0,516417
BAC,2020-02-03,0.21891467,0.18159182,0.061561834,4.0,0.281374,0.22290727,0.21819486,0.21764499,55548916.0,102107
BABA,2020-02-03,0.36293387,0.29337677,0.116597645,4.0,0.368986,0.33730143,0.31311357,0.30449498,15164718.0,240291
GLD,2020-02-03,0.116215244,0.09705532,0.014199369,4.0,0.133488,0.11371257,0.103799425,0.10867777,9358067.0,126808
HYG,2020-02-03,0.042887375,0.047569003,0.0052650603,4.0,0.093077,0.06740943,0.06477629,0.064191,32825846.0,172772
AMZN,2020-02-03,0.37985203,0.290627,0.064762674,4.0,0.280307,0.23192129,0.23123457,0.2298505,82572664.0,166705
XLF,2020-02-03,0.14762163,0.14653157,0.039105747,4.0,0.261096,0.18222515,0.18510629,0.1789439,45526820.0,53911
BA,2020-02-03,0.32759196,0.251529,0.076583385,4.0,0.291951,0.25530043,0.25545686,0.262051,8716037.0,81095
AAL,2020-02-03,0.46550873,0.4630281,0.18081652,4.0,0.467729,0.397623,0.39894858,0.40029326,10897155.0,31898
GE,2020-02-03,0.39964595,0.45228437,0.11329789,4.0,0.395343,0.3148197,0.33202884,0.3357236,14424738.0,122863
NVDA,2020-02-03,0.35599858,0.29630396,0.19322707,4.0,0.38982,0.4331526,0.3963057,0.389184,294171400.0,66496
DIS,2020-02-03,0.20607923,0.19057347,0.11384187,4.0,0.733825,0.33543444,0.30262014,0.283353,9783275.0,240153
SNAP,2020-02-03,0.43246347,0.30839396,0.43079382,4.0,1.50233,0.6562037,0.60064554,0.556919,25978300.0,94424
GDX,2020-02-03,0.23693933,0.26371834,0.06614898,4.0,0.286428,0.24870071,0.2520154,0.24838999,50041310.0,71235
UBER,2020-02-03,0.43609816,0.3348211,0.27172607,4.0,1.010156,0.52820086,0.4870037,0.47704992,25470200.0,107805
NFLX,2020-02-03,0.32387605,0.3934377,0.11385197,4.0,0.371462,0.31935114,0.31566674,0.338211,81960470.0,173084
INTC,2020-02-03,0.30905446,0.39706123,0.071313344,4.0,0.306647,0.25124416,0.249224,0.2466875,28762186.0,51064
T,2020-02-03,0.15340763,0.18906462,0.03384485,4.0,0.218853,0.17742799,0.18036385,0.18383801,68790740.0,112171
USO,2020-02-03,0.3092727,0.25922412,0.18299274,4.0,0.552404,0.41617456,0.4010003,0.3875865,3140800.5,156652
ROKU,2020-02-03,0.46153322,0.52692026,0.61396366,4.0,0.628615,0.78602,0.710691,0.67235553,10793281.0,115438
EFA,2020-02-03,0.117547825,0.11836385,0.021099923,4.0,0.163765,0.13548243,0.12223643,0.12309382,26350450.0,187994
EWZ,2020-02-03,0.24808799,0.2592854,0.08031445,4.0,0.335607,0.27741402,0.27849513,0.2735094,34915396.0,283426
WFC,2020-02-03,0.23638849,0.23322284,0.04403055,4.0,0.249258,0.19268486,0.19594742,0.19859451,26981776.0,38581
CCL,2020-02-03,0.3779194,0.34142268,0.14742604,4.0,0.549213,0.35775456,0.34645,0.34745002,6570968.5,29730
TLT,2020-02-03,0.10847549,0.11831823,0.020946767,4.0,0.18129,0.13916686,0.130603,0.128881,11843934.0,63844
ZM,2020-02-03,0.3999183,0.5787216,0.28283927,4.0,0.677833,0.583641,0.57037973,0.5470565,2834166.8,68197
JPM,2020-02-03,0.20660748,0.19619083,0.05247981,4.0,0.243862,0.210105,0.19768886,0.1991765,13870445.0,39438
MU,2020-02-03,0.39785743,0.42760974,0.16585812,4.0,0.419051,0.38505542,0.40593243,0.418466,24984834.0,90200
WMT,2020-02-03,0.13724622,0.12711379,0.061451204,4.0,0.214693,0.24887314,0.22588915,0.209333,19513458.0,33468
XOM,2020-02-03,0.17383996,0.19433501,0.05382759,4.0,0.275541,0.21900114,0.22464427,0.2191265,23545074.0,144987
TQQQ,2020-02-03,0.47933787,0.45175678,0.3387142,4.0,0.701474,0.535872,0.52699274,0.52291244,162074750.0,46840
XLE,2020-02-03,0.18776287,0.17254783,0.05090637,4.0,0.288032,0.2273167,0.21284172,0.21724294,43827410.0,91108
C,2020-02-03,0.2385007,0.21295293,0.0673246,4.0,0.282808,0.23756029,0.22871014,0.22808008,16072631.0,33271
CSCO,2020-02-03,0.19104451,0.19951767,0.08828357,4.0,0.261273,0.29211658,0.2636213,0.2537105,21537596.0,43752
DAL,2020-02-03,0.3683152,0.26511556,0.092110254,4.0,0.303063,0.28349388,0.27991402,0.2846865,8689018.0,34542
PFE,2020-02-03,0.1969403,0.23933339,0.04147417,4.0,0.239026,0.19051172,0.18446957,0.1828615,34484892.0,43046
BYND,2020-02-03,1.0114582,1.1611196,0.69797546,4.0,0.733322,0.82825345,0.739956,0.71977603,16797852.0,111007
PTON,2020-02-03,0.65723443,0.43118474,0.7574156,4.0,1.754042,0.9623593,0.8870807,0.839966,4769152.5,61378
JD,2020-02-03,0.4523053,0.33843443,0.19156495,4.0,0.391425,0.417995,0.40101773,0.388563,14004480.0,41491
UAL,2020-02-03,0.3679752,0.35597572,0.13239297,4.0,0.388514,0.34627587,0.34037542,0.338912,4742905.0,23690
CRM,2020-02-03,0.22207771,0.23297031,0.10304209,4.0,0.270953,0.30549887,0.2922186,0.28612426,5031899.5,30193
PINS,2020-02-03,0.5570895,0.4434377,0.50242394,4.0,1.447783,0.71794355,0.64507174,0.629246,13364419.0,25463
M,2020-02-03,0.34945536,0.36899352,0.4663099,4.0,1.035003,0.6471691,0.59971327,0.5690032,15911973.0,34915
QCOM,2020-02-03,0.28782576,0.314487,0.15626115,4.0,0.655848,0.38339528,0.37319243,0.35859048,11005297.0,41391
PLUG,2020-02-03,0.8733319,0.7677933,0.66685164,4.0,0.829946,0.7855466,0.84076244,0.81879914,15810638.0,5705
OXY,2020-02-03,0.31795093,0.27745292,0.14344208,4.0,0.390201,0.36442772,0.36942127,0.35825598,12275863.0,15312
DIA,2020-02-03,0.12522802,0.1200878,0.030075049,4.0,0.211833,0.155341,0.15621328,0.1483667,3067035.2,46497
GM,2020-02-03,0.26032946,0.1979664,0.108515985,4.0,0.599726,0.31802043,0.29524,0.28934416,10866441.0,35068
PYPL,2020-02-03,0.2919247,0.21021537,0.067747205,4.0,0.2847,0.244857,0.2500063,0.2472865,7782950.0,23133
NCLH,2020-02-03,0.35691348,0.28079045,0.18285573,18.0,0.385654,0.35739613,0.32207382,0.31440884,1809304.8,4596
SBUX,2020-02-03,0.25049525,0.21888581,0.050287884,4.0,0.262493,0.21290128,0.205012,0.20386499,9414121.0,46671
LYFT,2020-02-03,0.367217,0.2679524,0.3071841,4.0,0.546155,0.5566063,0.508337,0.4840945,4367766.5,22186
FCX,2020-02-03,0.47295776,0.45272171,0.2133889,4.0,0.543218,0.43739656,0.45875645,0.451101,28768916.0,40274
MRNA,2020-02-03,0.76421046,0.5828766,0.5416919,18.0,0.675887,0.7040017,0.7391451,0.731479,3598595.2,3724
V,2020-02-03,0.23379159,0.22942685,0.046676133,4.0,0.24369,0.20582457,0.20054801,0.20055476,9273503.0,53298
ET,2020-02-03,0.27891293,0.2555417,0.11558221,4.0,0.383983,0.31521216,0.30227542,0.2985025,25590496.0,11020
VALE,2020-02-03,0.3429695,0.36600566,0.17255592,4.0,0.464671,0.39251158,0.3788893,0.37325886,31229098.0,18058
KO,2020-02-03,0.14601576,0.14975052,0.024414208,4.0,0.168794,0.141329,0.13572185,0.132386,16463494.0,34444
NOK,2020-02-03,0.2861563,0.27877918,0.26836976,4.0,1.047054,0.47497955,0.4080753,0.3846085,30595032.0,21344
PBR,2020-02-03,0.29479644,0.26030728,0.15813279,4.0,0.504907,0.393029,0.37663785,0.3680095,34479780.0,46122
KRE,2020-02-03,0.18337166,0.17249897,0.050618235,4.0,0.26261,0.21348271,0.21126014,0.20891893,7806560.5,3900
BIDU,2020-02-03,0.43956295,0.33181655,0.17348984,4.0,0.408377,0.41101998,0.38150328,0.37709755,4627033.5,81966
GME,2020-02-03,0.7038779,0.64902776,0.45061082,4.0,0.644848,0.6259997,0.64284015,0.68411756,14984190.0,5090
GOOGL,2020-02-03,0.20156139,0.2108097,0.1063287,4.0,0.686644,0.33105356,0.2931156,0.2758725,34489108.0,94382
BMY,2020-02-03,0.21061161,0.21977274,0.0718614,4.0,0.47701,0.2595787,0.24798499,0.24584,19012280.0,24410
CRWD,2020-02-03,0.5481353,0.4174671,0.264312,4.0,0.579637,0.50493413,0.55111516,0.53738403,7000419.0,12757
SHOP,2020-02-03,0.37328333,0.258984,0.28460622,4.0,0.490834,0.53466785,0.5001296,0.4793895,18161334.0,29993
