ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2023-06-01,0.119680636,0.12719122,0.025303056,0.0,0.174123,0.12826186,0.13624714,0.13735393,83826740.0,6979375
QQQ,2023-06-01,0.1652143,0.17219855,0.043410692,0.0,0.314343,0.18491071,0.18680128,0.18930271,53349104.0,2742951
SPX,2023-06-01,0.1106206,0.12771082,0.024632504,0.0,0.243773,0.12522766,0.13229857,0.132366,0.0,2359979
TSLA,2023-06-01,0.45696458,0.36803135,0.3113684,1.0,0.583925,0.48277956,0.526128,0.53362405,122932870.0,1463969
IWM,2023-06-01,0.20327656,0.17364638,0.049159344,1.0,0.230325,0.19296014,0.193551,0.18266922,31206626.0,875446
NVDA,2023-06-01,0.92664886,0.84507626,0.24963577,1.0,0.530341,0.4614677,0.4594047,0.45297614,541450600.0,1188537
AAPL,2023-06-01,0.19848298,0.20507188,0.06070218,1.0,0.242692,0.2231477,0.20786972,0.20443685,59957596.0,972683
AMZN,2023-06-01,0.2671827,0.2573063,0.10310453,1.0,0.369564,0.28555357,0.2862547,0.2942158,63487136.0,644700
VIX,2023-06-01,0.9726377,1.0432556,0.7400963,6.0,0.940541,0.7768687,0.71947867,0.6867827,0.0,1044003
AMD,2023-06-01,0.6686894,0.68403983,0.27884406,1.0,0.559272,0.48120755,0.46848872,0.4598562,80729840.0,577915
MSFT,2023-06-01,0.20380284,0.20391841,0.056648463,1.0,0.260162,0.20370686,0.203964,0.2179765,28169358.0,301874
META,2023-06-01,0.2800629,0.20859158,0.11939678,1.0,0.36688,0.30993244,0.3199717,0.34676957,22023518.0,568857
AMC,2023-06-01,0.5671456,0.40397367,1.6707853,1.0,0.608752,1.1105591,1.2493963,1.3821752,1558433.2,188593
HYG,2023-06-01,0.065384105,0.06721978,0.007445413,1.0,0.096344,0.08044843,0.08251572,0.0831975,37330750.0,423224
GOOGL,2023-06-01,0.30944055,0.26342788,0.08348947,1.0,0.309279,0.25956556,0.26057187,0.2688615,38081000.0,284063
EEM,2023-06-01,0.12940139,0.16211902,0.028682018,1.0,0.174944,0.14792114,0.15348457,0.15711135,29850148.0,128021
TQQQ,2023-06-01,0.47551048,0.5063027,0.35850492,1.0,0.742987,0.5439446,0.5369731,0.5612519,226348500.0,219908
BAC,2023-06-01,0.27246222,0.26315615,0.09915634,1.0,0.326931,0.2691893,0.26993,0.27956605,51181460.0,222926
