ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2025-08-01,0.08366309,0.089373566,0.043581206,0.0,0.215689,0.15864186,0.16161714,0.155809,70834540.0,9958253
QQQ,2025-08-01,0.10536223,0.101148285,0.055518497,0.0,0.232079,0.199929,0.18907256,0.195471,42898720.0,5282133
SPX,2025-08-01,0.0832159,0.087403744,0.04164377,0.0,0.177544,0.15175751,0.146598,0.149658,0.0,4352245
NVDA,2025-08-01,0.27460074,0.24933511,0.2589854,0.0,0.356925,0.47069,0.4193147,0.41345862,162730850.0,3765039
TSLA,2025-08-01,0.5187491,0.518692,0.31453428,0.0,0.40623,0.48599488,0.47316,0.47502223,94379040.0,3382402
IWM,2025-08-01,0.15596801,0.1784157,0.07923056,0.0,0.307207,0.24994743,0.24095786,0.231307,36833580.0,2318332
AAPL,2025-08-01,0.18267657,0.142439,0.09686603,0.0,0.314631,0.274209,0.26333085,0.25748938,49515400.0,2049259
PLTR,2025-08-01,0.3502453,0.3070631,0.5611169,0.0,0.432023,0.684402,0.6236128,0.6078242,55057776.0,857110
VIX,2025-08-01,0.8910614,0.9586707,1.1557285,5.0,1.282515,0.96293473,0.96592444,0.90593433,0.0,1864645
AMD,2025-08-01,0.42397937,0.37741822,0.36740133,0.0,0.390507,0.5386757,0.5041013,0.49001336,55581504.0,1161105
AMZN,2025-08-01,0.18531744,0.34901607,0.10193207,0.0,0.327195,0.28599873,0.27898628,0.2727185,43243956.0,1806169
IBIT,2025-08-01,0.32131198,0.2975882,0.24887455,0.0,0.46312,0.38407487,0.376413,0.393607,50892190.0,792465
MSTR,2025-08-01,0.41489595,0.5151502,0.7007043,0.0,0.979616,0.586507,0.5941227,0.6021211,11816167.0,1210570
SLV,2025-08-01,0.19160178,0.24468802,0.06821749,0.0,0.123056,0.22567643,0.23341943,0.236908,23867004.0,309297
INTC,2025-08-01,0.46881035,0.47056976,0.20075129,0.0,0.198019,0.41451928,0.41143557,0.4170407,81501230.0,449841
TLT,2025-08-01,0.11156987,0.124925226,0.024242086,0.0,0.210302,0.13879415,0.125835,0.137936,37578220.0,601122
GLD,2025-08-01,0.13322361,0.14821123,0.03069994,0.0,0.113088,0.15601143,0.15780172,0.148655,9419057.0,1013811
META,2025-08-01,0.42734805,0.42472908,0.09866165,0.0,0.294805,0.28456557,0.28505844,0.28279725,12846335.0,774343
HYG,2025-08-01,0.026023975,0.026497582,0.0060655484,0.0,0.143216,0.05201186,0.110381424,0.05437364,32572374.0,813577
GOOGL,2025-08-01,0.2585944,0.19017477,0.11065527,0.0,0.311504,0.263404,0.268527,0.2846541,39580844.0,423085
SMCI,2025-08-01,0.49239022,0.5636429,0.9646663,0.0,0.758582,0.8572518,0.7756707,0.7484956,37753384.0,418204
SOFI,2025-08-01,0.7536306,0.46305078,0.37697002,0.0,0.374585,0.5657133,0.56834114,0.54609746,81618104.0,617638
HOOD,2025-08-01,0.5543332,0.45812985,0.47422108,0.0,0.702433,0.63160795,0.6346504,0.63045806,47738784.0,895244
