ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2024-08-01,0.13082618,0.15395962,0.035104856,0.0,0.452289,0.16238086,0.16019857,0.150497,49998500.0,10437049
QQQ,2024-08-01,0.19648384,0.25340742,0.06921518,0.0,0.660307,0.23339143,0.23266971,0.225843,38723124.0,4496876
SPX,2024-08-01,0.1281918,0.15320215,0.035618994,0.0,0.232157,0.15312175,0.15290132,0.146036,0.0,3532364
NVDA,2024-08-01,0.61709327,0.7577559,0.66174436,1.0,1.024281,0.76417243,0.6901031,0.65601313,306192640.0,6400469
TSLA,2024-08-01,0.65852296,0.7874603,0.3026194,1.0,0.663927,0.49721116,0.49547258,0.5033658,127215080.0,1849903
IWM,2024-08-01,0.24070849,0.27147838,0.08006087,0.0,0.345766,0.26003656,0.25508514,0.250136,42396776.0,3172543
AAPL,2024-08-01,0.25296837,0.23533776,0.103876054,1.0,0.995653,0.29465786,0.28740185,0.258534,52604596.0,982493
VIX,2024-08-01,1.7394557,1.1754342,1.3852499,6.0,1.308305,1.057471,0.92738956,0.8283625,0.0,1455777
AMD,2024-08-01,0.5774356,0.64202726,0.31999922,1.0,0.830011,0.52338016,0.5064127,0.50008416,58431724.0,1294034
AMZN,2024-08-01,0.28221136,0.24194399,0.21991563,1.0,1.690348,0.43860444,0.40982828,0.3672665,40118604.0,776250
PLTR,2024-08-01,0.52292454,0.44062525,0.54392284,1.0,0.611819,0.719299,0.69788814,0.6199521,42785556.0,203095
TLT,2024-08-01,0.11750398,0.12031543,0.024653818,1.0,0.270807,0.14284472,0.144123,0.133687,38543652.0,584148
META,2024-08-01,0.39039564,0.48156637,0.14881653,1.0,0.594213,0.35805744,0.34803644,0.335135,16702510.0,1012370
MARA,2024-08-01,0.88894725,1.0384957,1.1284322,1.0,1.621407,0.9590017,0.97205913,0.9926934,45955456.0,310443
INTC,2024-08-01,0.4393405,0.45937875,0.3075199,1.0,2.005262,0.54544497,0.5122913,0.45265022,58790388.0,503115
SMCI,2024-08-01,0.6819992,0.5720779,0.7429162,1.0,0.968267,0.8225597,0.7552559,0.730878,57097428.0,159200
MSFT,2024-08-01,0.22493482,0.22047803,0.068350956,1.0,0.362492,0.237017,0.235605,0.23538893,21143942.0,521332
