ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2022-01-03,0.15653372,0.1602661,0.024364525,0.0,0.147495,0.123665,0.13642415,0.14218,87538560.0,4018990
QQQ,2022-01-03,0.20797516,0.23313259,0.04109109,0.0,0.188765,0.174904,0.17888328,0.184928,54367716.0,1225559
SPX,2022-01-03,0.12952936,0.16242497,0.028570175,0.0,0.125673,0.1238535,0.13567428,0.14111768,0.0,1688548
TSLA,2022-01-03,0.571019,0.7470754,0.49493203,4.0,0.688119,0.658172,0.65249103,0.63851404,71129910.0,1686935
AAPL,2022-01-03,0.28883374,0.3048276,0.10023897,4.0,0.260156,0.2802377,0.27137014,0.2754285,110072330.0,1561503
AMZN,2022-01-03,0.28234336,0.23579898,0.1057914,4.0,0.230344,0.28260258,0.2891123,0.2806515,57727810.0,283133
IWM,2022-01-03,0.24975134,0.23456861,0.04855239,0.0,0.01,0.192584,0.19228657,0.2007135,39291790.0,711231
AMD,2022-01-03,0.52145654,0.59968036,0.32518715,4.0,0.535388,0.526864,0.5202206,0.51171696,53048076.0,542267
NVDA,2022-01-03,0.5735071,0.63151246,0.23947808,4.0,0.501994,0.45046613,0.46580914,0.467313,500819300.0,560185
HYG,2022-01-03,0.036482092,0.040795155,0.0050779833,4.0,0.036019,0.049298,0.047921143,0.0485035,30455948.0,528601
VIX,2022-01-03,1.6317027,1.4115484,1.4313395,2.0,0.974706,1.116914,1.0890183,1.020399,0.0,372233
META,2022-01-03,0.32629058,0.28422272,0.110332154,18.0,0.268553,0.286511,0.3089585,0.31406283,19088752.0,5978
TQQQ,2022-01-03,0.6299769,0.6857309,0.37363324,4.0,0.500039,0.49881387,0.55240214,0.568964,223642140.0,171846
EEM,2022-01-03,0.1385629,0.14454535,0.034662988,4.0,0.181423,0.16932599,0.17412329,0.1785285,45524876.0,260270
AMC,2022-01-03,1.3564959,1.0890952,1.356977,4.0,0.978089,1.0574212,1.075921,1.0929246,5243622.5,286511
BABA,2022-01-03,0.571516,0.7281118,0.35273477,4.0,0.606601,0.5211691,0.54201716,0.520296,27058658.0,205764
MSFT,2022-01-03,0.25700483,0.27781993,0.079809904,4.0,0.21593,0.23661813,0.23971885,0.244073,29072022.0,337369
NIO,2022-01-03,0.81251943,0.854173,0.54049426,4.0,0.7824,0.62060785,0.6477128,0.6574245,56744330.0,434571
SLV,2022-01-03,0.2180296,0.16908601,0.073201686,4.0,0.279648,0.24825428,0.24854158,0.24717063,18235958.0,543475
BAC,2022-01-03,0.23296528,0.2504486,0.08519602,4.0,0.244067,0.26677442,0.26278728,0.266532,52802004.0,337314
XLE,2022-01-03,0.28263706,0.24197143,0.08011379,4.0,0.256659,0.25244957,0.2606784,0.2660375,59516948.0,105231
XLF,2022-01-03,0.18867633,0.18629277,0.043581292,4.0,0.182985,0.179254,0.191293,0.20778,61036944.0,172032
GOOGL,2022-01-03,0.22921301,0.19496462,0.08894762,4.0,0.196028,0.25031614,0.25391942,0.248674,28106486.0,52621
PBR,2022-01-03,0.3203322,0.268558,0.17702298,4.0,0.399171,0.39388585,0.41690415,0.4421755,40207828.0,54788
SNAP,2022-01-03,0.61599547,0.4858487,0.5305619,4.0,0.515654,0.636698,0.67736685,0.63852346,15793538.0,69360
NFLX,2022-01-03,0.26819345,0.22700937,0.14958332,4.0,0.27142,0.35778585,0.34469312,0.330204,26608856.0,73953
TLT,2022-01-03,0.1386811,0.16383532,0.02979263,4.0,0.187719,0.16155085,0.15949786,0.1559615,21538558.0,182385
EFA,2022-01-03,0.108470134,0.13061914,0.019328803,4.0,0.114725,0.11430457,0.12412828,0.13200149,31074446.0,226895
EWZ,2022-01-03,0.26159427,0.25364715,0.11935027,4.0,0.376755,0.335277,0.37433288,0.3594885,29585772.0,168669
GLD,2022-01-03,0.09393003,0.10427468,0.023872998,4.0,0.14918,0.12433528,0.133071,0.13540101,6798816.5,191264
XOM,2022-01-03,0.24550694,0.21998337,0.07223088,4.0,0.23616,0.23918273,0.2657647,0.2674225,21827872.0,121262
ARKK,2022-01-03,0.52036995,0.51378685,0.17636064,4.0,0.423355,0.38456357,0.39512143,0.388136,13953384.0,81751
INTC,2022-01-03,0.3386903,0.26643088,0.13401563,4.0,0.248574,0.34645787,0.33697528,0.3339065,34723516.0,229448
AAL,2022-01-03,0.5471469,0.4761782,0.26077518,4.0,0.431698,0.4348113,0.46227187,0.461963,38153210.0,162664
OXY,2022-01-03,0.47385767,0.46342435,0.23924673,4.0,0.460587,0.47104013,0.46428072,0.48874348,13510099.0,66394
SOFI,2022-01-03,0.6878078,0.69830614,0.54348826,4.0,0.718365,0.6774766,0.755489,0.7662095,32517220.0,126592
T,2022-01-03,0.2500549,0.29350176,0.090899006,4.0,0.350091,0.22727585,0.22402714,0.2248805,103571540.0,360050
PLTR,2022-01-03,0.49304795,0.45123085,0.28174642,4.0,0.499041,0.46057042,0.5450947,0.5487755,34299570.0,247237
UBER,2022-01-03,0.5158532,0.5326239,0.22602816,4.0,0.451861,0.44115916,0.51220876,0.49730402,30092206.0,146251
GOOG,2022-01-03,0.22738913,0.19185531,0.09015563,4.0,0.198171,0.2502917,0.26132643,0.2583685,21817846.0,42091
CCL,2022-01-03,0.6537963,0.5915839,0.33700863,4.0,0.584815,0.5623944,0.5143809,0.508604,48260220.0,194950
KWEB,2022-01-03,0.50448674,0.5926844,0.26704034,4.0,0.548224,0.49742872,0.49544972,0.49061793,20399476.0,58348
DIS,2022-01-03,0.21841556,0.20373254,0.066791885,4.0,0.23645,0.23869944,0.26836485,0.260373,11026751.0,155266
LCID,2022-01-03,1.1853333,0.88919634,0.79176265,4.0,0.773172,0.80697316,0.8288156,0.8321386,5882479.5,409434
C,2022-01-03,0.23584192,0.24711202,0.08780315,4.0,0.237815,0.26578614,0.27201045,0.277662,27503664.0,199354
