ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2025-02-03,0.15540546,0.13873702,0.03163115,0.0,0.250213,0.14966114,0.14861143,0.13957235,50988710.0,9896727
QQQ,2025-02-03,0.23796849,0.20171349,0.04982697,0.0,0.29169,0.20067242,0.19744499,0.18144053,34348670.0,4460612
SPX,2025-02-03,0.14375854,0.13992557,0.032570247,0.0,0.215827,0.140358,0.13845176,0.13665235,0.0,3363063
NVDA,2025-02-03,0.77911985,0.87148666,0.5665847,4.0,0.811567,0.73389786,0.6899252,0.6522141,301122700.0,3942853
TSLA,2025-02-03,0.6417429,0.5738767,0.35961235,4.0,0.674592,0.54309416,0.5570613,0.561389,76399430.0,1804638
IWM,2025-02-03,0.21108533,0.1656903,0.059591897,0.0,0.319014,0.22023728,0.2257143,0.21090482,26449194.0,1851594
AAPL,2025-02-03,0.32695967,0.31766242,0.08011458,4.0,0.33107,0.24811372,0.229279,0.2271157,60910148.0,1135599
PLTR,2025-02-03,0.6424197,0.590498,0.7012713,4.0,1.649452,0.8275004,0.75185454,0.7204885,71473030.0,818618
VIX,2025-02-03,1.4872419,1.2268404,1.0497769,2.0,1.342327,0.99733,0.87688696,0.8200142,0.0,875268
AMD,2025-02-03,0.4054802,0.44194052,0.33625638,4.0,1.094565,0.5705974,0.52967453,0.5047231,38749696.0,363982
AMZN,2025-02-03,0.29604992,0.21462041,0.1600464,4.0,0.801151,0.373016,0.34482673,0.32735685,32853044.0,303967
IBIT,2025-02-03,0.51070464,0.44439322,0.3468846,4.0,0.512369,0.5078774,0.55624115,0.55818987,49406548.0,646273
MSTR,2025-02-03,0.869306,0.85042405,0.98044735,4.0,1.01902,0.869298,0.88251543,0.9062277,19110972.0,361387
SLV,2025-02-03,0.25641087,0.2117957,0.08256331,0.0,0.20931,0.2591363,0.27878943,0.26072818,19735624.0,307176
INTC,2025-02-03,0.44497955,0.44089738,0.28861636,4.0,0.591189,0.510891,0.5126254,0.50106937,73859210.0,385555
TLT,2025-02-03,0.13099207,0.11031385,0.02360824,0.0,0.141868,0.14630114,0.13766643,0.1406046,37233896.0,557086
GLD,2025-02-03,0.12046784,0.12165657,0.027582383,0.0,0.137351,0.15033571,0.14813614,0.14508829,7281543.0,255457
META,2025-02-03,0.3923978,0.2704601,0.11061013,4.0,0.369248,0.30511385,0.30565286,0.30124173,16210808.0,489041
HYG,2025-02-03,0.040882453,0.04297683,0.0046949475,4.0,0.054502,0.054943286,0.051423572,0.052912407,34745456.0,91406
