ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2020-01-02,0.0807132,0.070719115,0.013250649,1.0,0.090272,0.10364233,0.11316629,0.11747236,66198590.0,2209546
AAPL,2020-01-02,0.18175793,0.16769268,0.099107325,1.0,0.278055,0.30749473,0.28747484,0.27524808,120199576.0,996937
QQQ,2020-01-02,0.15191752,0.092577584,0.024891645,1.0,0.125808,0.13424085,0.14346142,0.15185678,21485188.0,616398
SPX,2020-01-02,0.07167399,0.07084495,0.015630944,1.0,0.08874935,0.10198302,0.10930195,0.11117364,0.0,602856
TSLA,2020-01-02,0.30961737,0.32857734,0.29323137,1.0,0.753745,0.5353676,0.5173484,0.49212843,150618420.0,339984
IWM,2020-01-02,0.10630978,0.06716095,0.019831343,1.0,0.147432,0.13334799,0.13491714,0.13600428,16736102.0,291357
VIX,2020-01-02,1.3000824,1.032197,0.8018202,6.0,0.983687,0.88923186,0.7973594,0.755302,0.0,263954
NIO,2020-01-02,1.6734616,1.6069152,1.491374,1.0,1.658782,1.1646159,1.134545,1.1004689,66903220.0,301504
AMD,2020-01-02,0.33239245,0.41629207,0.27758235,1.0,0.503857,0.521191,0.54280543,0.5136811,49100144.0,773882
MSFT,2020-01-02,0.13120359,0.104276724,0.04966465,1.0,0.176668,0.21501957,0.19968314,0.200801,22459586.0,244815
SLV,2020-01-02,0.16000466,0.1639245,0.042187754,1.0,0.22929,0.193005,0.20650443,0.19565693,11326048.0,256472
EEM,2020-01-02,0.09362393,0.110709116,0.024455976,1.0,0.178935,0.15029615,0.1544593,0.15218893,69957200.0,515702
BAC,2020-01-02,0.1647913,0.15868187,0.045920298,1.0,0.212852,0.20682871,0.20170343,0.20127985,51494010.0,145139
BABA,2020-01-02,0.21418867,0.20501384,0.069762655,1.0,0.265923,0.257395,0.27195686,0.26393756,14915579.0,213957
GLD,2020-01-02,0.08067303,0.072533354,0.014806134,1.0,0.126775,0.11476415,0.114491716,0.11932886,5763585.5,214379
HYG,2020-01-02,0.024700107,0.023825314,0.0031735376,1.0,0.05372,0.044935,0.049158145,0.047488857,24209184.0,209135
AMZN,2020-01-02,0.14502606,0.19960098,0.08289863,1.0,0.24044,0.28167298,0.26336458,0.2521203,65357332.0,352832
XLF,2020-01-02,0.10720436,0.11254332,0.01865926,1.0,0.122669,0.12923743,0.132495,0.14342965,42531556.0,43653
BA,2020-01-02,0.28752527,0.25770792,0.103528835,1.0,0.23608,0.30718043,0.30139956,0.29247636,6110013.5,98499
AAL,2020-01-02,0.23757614,0.2825238,0.13628334,1.0,0.311839,0.35462472,0.34671685,0.34172958,6375951.5,21752
GE,2020-01-02,0.25191948,0.32078043,0.16543831,1.0,0.365135,0.36218616,0.34636885,0.35267994,10500966.0,212966
NVDA,2020-01-02,0.255642,0.19388911,0.09157105,1.0,0.276331,0.29283616,0.3529653,0.34606743,307846940.0,98914
DIS,2020-01-02,0.14952274,0.1528411,0.044123437,1.0,0.202199,0.19938672,0.24149472,0.22905973,8327401.0,139683
SNAP,2020-01-02,0.3293758,0.2825955,0.20883942,1.0,0.543896,0.464244,0.57182246,0.531456,18582752.0,115401
GDX,2020-01-02,0.19816709,0.23948067,0.07234928,1.0,0.337951,0.26415786,0.267378,0.26693693,54357692.0,108930
UBER,2020-01-02,0.3286326,0.29653996,0.15520203,1.0,0.392836,0.39185786,0.46870372,0.46663052,29592286.0,82584
NFLX,2020-01-02,0.25540695,0.2793222,0.20329197,1.0,0.329193,0.44630173,0.402775,0.37515643,58683760.0,99860
INTC,2020-01-02,0.1642311,0.15765865,0.07600527,1.0,0.20449,0.27235886,0.258452,0.24954772,22631438.0,65535
T,2020-01-02,0.114460334,0.07981555,0.052643523,1.0,0.160512,0.21043415,0.19625856,0.18622535,48219196.0,85069
USO,2020-01-02,0.20390417,0.14904092,0.07503181,1.0,0.257031,0.25064528,0.2495467,0.25477743,1701196.8,31019
ROKU,2020-01-02,0.5238261,0.5242865,0.3913315,1.0,0.560689,0.61302596,0.66822505,0.7172418,14890371.0,127221
EFA,2020-01-02,0.08478658,0.08623895,0.010113596,1.0,0.085564,0.093917854,0.09933786,0.10140607,28662302.0,69904
EWZ,2020-01-02,0.14250796,0.14475395,0.06332266,1.0,0.246664,0.23796758,0.242855,0.25000393,33555420.0,178468
WFC,2020-01-02,0.15469638,0.16762762,0.042598505,1.0,0.175632,0.19730857,0.19269785,0.1949232,21640014.0,40940
CCL,2020-01-02,0.2735337,0.30071646,0.04122778,1.0,0.19607,0.19688,0.20362486,0.21849325,4463638.0,6639
TLT,2020-01-02,0.12641685,0.13595308,0.014521128,1.0,0.135891,0.115485,0.11262172,0.11130528,9339679.0,87719
ZM,2020-01-02,0.4530051,0.48532885,0.14332534,1.0,0.36096,0.37292227,0.38343656,0.37930954,2779462.0,5788
JPM,2020-01-02,0.14868237,0.1526773,0.035750616,1.0,0.14815,0.16957644,0.17042957,0.17190029,12162931.0,808596
MU,2020-01-02,0.33704004,0.3207678,0.12136999,1.0,0.358091,0.34047657,0.3396197,0.3534072,25142538.0,150427
WMT,2020-01-02,0.1141237,0.08308933,0.023871876,1.0,0.149857,0.13848415,0.15449014,0.18569264,15493610.0,23700
XOM,2020-01-02,0.14291319,0.14799236,0.041439436,1.0,0.180712,0.18707214,0.21265642,0.18801643,18119420.0,43016
TQQQ,2020-01-02,0.2937348,0.27120587,0.19965413,1.0,0.379194,0.40604886,0.40358886,0.4548867,104544570.0,51260
XLE,2020-01-02,0.1349029,0.1386084,0.03426373,1.0,0.199749,0.17883885,0.1834937,0.18847336,35356880.0,61284
C,2020-01-02,0.17010401,0.1430212,0.05246588,1.0,0.168488,0.21862186,0.21725,0.21590929,15290439.0,78659
CSCO,2020-01-02,0.1581629,0.1844395,0.03409645,1.0,0.171909,0.17751314,0.23924315,0.24451922,24351756.0,65389
DAL,2020-01-02,0.19637069,0.18240178,0.054847572,1.0,0.275647,0.22443557,0.22791386,0.21645635,4918908.5,18881
PFE,2020-01-02,0.13942939,0.10914378,0.044242937,1.0,0.163381,0.20066443,0.18867214,0.18193428,25100296.0,18815
BYND,2020-01-02,0.37722176,0.3185421,0.26041228,1.0,0.412686,0.50562143,0.509907,0.5314571,3533509.5,30817
PTON,2020-01-02,0.7621677,0.68475163,0.54611164,1.0,0.790564,0.7271574,0.8990873,0.7995101,6211066.5,30063
JD,2020-01-02,0.25706837,0.2986957,0.09532412,1.0,0.407308,0.30182198,0.3052267,0.31653813,10485987.0,120057
UAL,2020-01-02,0.18270479,0.17723173,0.078729436,1.0,0.235354,0.269084,0.253026,0.24484636,2070733.4,11015
CRM,2020-01-02,0.19574481,0.19085117,0.047596287,1.0,0.198692,0.198963,0.21122143,0.22496857,5298336.0,27773
PINS,2020-01-02,0.34087884,0.32520816,0.17315735,1.0,0.36289,0.41017944,0.6429577,0.5359421,7967395.0,8204
M,2020-01-02,0.29765266,0.33606288,0.22155282,1.0,0.431535,0.46071598,0.531778,0.4794112,22760352.0,46379
QCOM,2020-01-02,0.20741262,0.2110523,0.07005644,1.0,0.246392,0.26422557,0.31790543,0.29357615,9344833.0,36651
PLUG,2020-01-02,0.7928557,0.6481168,0.42305332,1.0,0.348928,0.6057609,0.7463996,0.7086978,11460052.0,7082
OXY,2020-01-02,0.20710571,0.22332475,0.071410075,1.0,0.297677,0.26110128,0.27194157,0.3013837,11471758.0,59872
DIA,2020-01-02,0.08002087,0.081953846,0.015197089,1.0,0.104131,0.10797143,0.11383143,0.118115716,2463687.2,44474
GM,2020-01-02,0.15882753,0.17820646,0.0481391,1.0,0.250549,0.214049,0.24447887,0.24420671,8648874.0,36266
PYPL,2020-01-02,0.15230133,0.16241805,0.09266194,1.0,0.211293,0.28156143,0.273206,0.2614171,6124247.5,50852
NCLH,2020-01-02,0.17316596,0.18311791,0.052445125,15.0,0.216861,0.23218414,0.24750729,0.25444606,1294914.2,858
