ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2023-12-01,0.09833895,0.109034956,0.016151518,0.0,0.122557,0.11043857,0.10851071,0.11059317,72857400.0,7672424
QQQ,2023-12-01,0.12922835,0.13440353,0.027158495,0.0,0.109029,0.14745586,0.15160057,0.15721646,46004296.0,2970304
SPX,2023-12-01,0.087027006,0.10860686,0.015212842,0.0,0.104169,0.105161,0.112299,0.111762,0.0,2902346
TSLA,2023-12-01,0.47804204,0.47077224,0.2079039,0.0,0.347682,0.4181693,0.43912342,0.44925278,125779560.0,3021673
IWM,2023-12-01,0.20379972,0.27433118,0.043454364,0.0,0.350024,0.18878086,0.18244886,0.18200982,40859984.0,2269308
NVDA,2023-12-01,0.3004728,0.28215697,0.10920917,0.0,0.124494,0.31381285,0.32731572,0.33854878,432744300.0,1256638
AAPL,2023-12-01,0.16108435,0.14283188,0.035103295,0.0,0.123964,0.15992714,0.174455,0.185238,52349236.0,653464
AMZN,2023-12-01,0.23175855,0.18904707,0.060784306,0.0,0.144127,0.221368,0.22301356,0.25293368,47745800.0,513200
VIX,2023-12-01,0.7017742,0.53901094,0.6920787,5.0,0.612451,0.7271297,0.7480646,0.7383001,0.0,603930
AMD,2023-12-01,0.31458765,0.2875006,0.12435115,0.0,0.18701,0.32552084,0.34520572,0.36528128,48068804.0,403005
MSFT,2023-12-01,0.16048253,0.18313307,0.041620336,0.0,0.182144,0.17278558,0.17907815,0.19378908,27523520.0,591969
META,2023-12-01,0.23397546,0.19322121,0.07397369,0.0,0.183962,0.25146374,0.25420558,0.29471767,15545693.0,398507
AMC,2023-12-01,1.0434905,0.8418833,1.2125798,0.0,0.201912,1.0016384,0.98721653,0.98047304,21241144.0,300094
HYG,2023-12-01,0.06507277,0.074964866,0.0054655597,0.0,0.095992,0.06263414,0.061067857,0.06268828,56285796.0,248663
GOOGL,2023-12-01,0.2050685,0.17496748,0.04602076,0.0,0.131976,0.19814958,0.20526658,0.22390333,25750030.0,262525
EEM,2023-12-01,0.14624622,0.15624821,0.032970276,0.0,0.180221,0.17482957,0.162223,0.16084032,30674558.0,185110
TQQQ,2023-12-01,0.38521913,0.39402333,0.24329229,0.0,0.387011,0.4336557,0.45681,0.4611662,189791620.0,292882
BAC,2023-12-01,0.24211434,0.2850024,0.059429638,0.0,0.166752,0.20747885,0.22419442,0.20919932,44957116.0,347518
PLTR,2023-12-01,0.7535098,0.792371,0.29498494,0.0,1.534591,0.4703187,0.50054574,0.5321512,73785630.0,341646
BABA,2023-12-01,0.44482318,0.41196996,0.121165894,0.0,0.235739,0.32211143,0.32239273,0.32965398,21797630.0,377369
TLT,2023-12-01,0.19617358,0.20462553,0.0322651,0.0,0.172112,0.16342986,0.16097128,0.15916142,54287476.0,711404
GOOG,2023-12-01,0.196377,0.17561907,0.04560164,0.0,0.160206,0.19997486,0.20648386,0.218311,19355170.0,172795
COIN,2023-12-01,0.70597833,0.52842295,0.5223088,0.0,0.466399,0.6889464,0.70244527,0.70420194,11425097.0,310575
NFLX,2023-12-01,0.17473519,0.18048358,0.06154214,0.0,0.225994,0.22440499,0.27825758,0.33138025,33946760.0,109350
INTC,2023-12-01,0.2665875,0.33875766,0.09340577,0.0,0.30265,0.25519744,0.28130344,0.30634585,39107292.0,230479
SLV,2023-12-01,0.22430904,0.21801591,0.07790346,0.0,0.331456,0.25576356,0.25507644,0.25796995,15575519.0,197256
MARA,2023-12-01,1.0251527,0.9516153,0.98335624,0.0,0.744298,0.9359965,0.9734766,0.982077,44304964.0,404899
EWZ,2023-12-01,0.19978264,0.18775468,0.09484139,0.0,0.281909,0.28556713,0.26127857,0.25279006,26193918.0,285662
NIO,2023-12-01,0.5817939,0.5692941,0.5798861,0.0,0.355871,0.6962657,0.6647327,0.6679407,41597668.0,120990
SOFI,2023-12-01,0.58454007,0.69286364,0.4041638,0.0,0.202735,0.56009954,0.5876409,0.63168263,42808588.0,378829
RIVN,2023-12-01,0.7134142,0.7308708,0.46348387,0.0,0.718107,0.61979645,0.64855516,0.6521806,40892812.0,186268
DIS,2023-12-01,0.25723687,0.32177278,0.044082735,0.0,0.31961,0.18771029,0.20314214,0.22164942,15882726.0,97139
GLD,2023-12-01,0.10088128,0.121970505,0.028269012,0.0,0.124769,0.14585614,0.13982314,0.13998021,7203390.0,288908
XLF,2023-12-01,0.10978331,0.115859635,0.022181803,0.0,0.156401,0.127091,0.133514,0.1359094,37759264.0,170736
KRE,2023-12-01,0.28956026,0.40442988,0.10439429,0.0,0.241423,0.29574314,0.29113585,0.2948668,16577951.0,308348
PYPL,2023-12-01,0.37942877,0.38365397,0.10226843,0.0,0.441334,0.287764,0.30129614,0.33195394,15999921.0,186878
C,2023-12-01,0.19758731,0.24697916,0.055745743,0.0,0.308453,0.21239129,0.23874743,0.24673252,17468974.0,165966
CVNA,2023-12-01,1.0672009,1.0206752,0.8842458,0.0,0.961672,0.9046873,0.91197616,0.9273728,8647614.0,134200
SNAP,2023-12-01,0.47454265,0.35064316,0.21965341,0.0,0.520081,0.3936816,0.43011785,0.49242052,20829534.0,125504
XLE,2023-12-01,0.2136936,0.19534115,0.044960935,0.0,0.230933,0.19332615,0.195371,0.19721258,41646670.0,178995
GDX,2023-12-01,0.2796314,0.3289321,0.10545011,0.0,0.579374,0.29251644,0.296296,0.29282176,24714472.0,244930
ARKK,2023-12-01,0.37988016,0.46413907,0.14828527,0.0,0.401518,0.364887,0.36569214,0.37085074,19431098.0,126026
SOXL,2023-12-01,0.67271554,0.6727288,0.47297072,0.0,0.600278,0.63879716,0.66734326,0.6781172,64889196.0,91583
AI,2023-12-01,0.77214706,0.6877126,0.7586769,0.0,0.614358,0.82572246,0.7755894,0.75546604,8923857.0,86021
UBER,2023-12-01,0.31815594,0.25345024,0.12276666,0.0,3.506017,0.321632,0.3101097,0.3258306,27513192.0,332919
PFE,2023-12-01,0.21430774,0.28774515,0.06665218,0.0,0.405314,0.24574529,0.24451058,0.25458726,37964804.0,352080
RIOT,2023-12-01,0.96943665,0.829111,0.942383,0.0,0.362225,0.93182814,0.9630816,0.9633415,24605548.0,240737
XOM,2023-12-01,0.2181183,0.20038237,0.046161994,0.0,0.208071,0.20214885,0.207357,0.21422108,21633686.0,107217
SHOP,2023-12-01,0.7140657,0.74146307,0.15676953,0.0,0.343581,0.36274973,0.37927544,0.40264702,13039465.0,59318
GME,2023-12-01,0.823435,1.0155891,1.6900122,0.0,0.935711,1.2786514,1.174588,1.1381263,7491243.0,219463
LCID,2023-12-01,0.7188524,0.6917822,0.6957033,0.0,0.200856,0.7506924,0.7365123,0.7491159,2864609.5,53357
CCL,2023-12-01,0.46075535,0.47533125,0.25447884,0.0,0.386021,0.476712,0.45900115,0.45649472,27844362.0,78267
AAL,2023-12-01,0.35688287,0.33818513,0.12966673,0.0,0.387657,0.32141572,0.35020316,0.36108002,32693974.0,159541
WFC,2023-12-01,0.20477927,0.20693561,0.05058394,0.0,0.236689,0.19909029,0.23056714,0.2311814,16381221.0,142289
BA,2023-12-01,0.23746225,0.23264438,0.05717337,0.0,0.488556,0.21805929,0.2263493,0.23944058,5716586.5,143136
T,2023-12-01,0.15198433,0.11228244,0.0357134,0.0,0.36862,0.17993742,0.194537,0.186901,32449676.0,121968
JPM,2023-12-01,0.1205661,0.10575168,0.025322016,0.0,0.155783,0.14525643,0.176708,0.18328407,8086123.5,72002
UPST,2023-12-01,1.4509711,1.6094196,0.85424095,0.0,1.681605,0.90151644,0.89068085,0.94365436,8516089.0,322187
AFRM,2023-12-01,1.0317272,1.0715241,0.65860134,0.0,0.961408,0.7926407,0.77858555,0.81138223,21689080.0,264985
PBR,2023-12-01,0.29433683,0.25362226,0.10992682,0.0,0.575347,0.32538584,0.3377916,0.32136717,20245220.0,44777
ORCL,2023-12-01,0.17025802,0.15344311,0.104808934,0.0,0.184911,0.30735272,0.2791627,0.2742102,6498162.0,36565
MU,2023-12-01,0.3150532,0.23177096,0.12296162,0.0,0.246374,0.32862255,0.323282,0.32275078,12515190.0,49881
KWEB,2023-12-01,0.34272152,0.3312407,0.09673787,0.0,0.454614,0.30654845,0.30383587,0.30166298,25334644.0,98136
DKNG,2023-12-01,0.46745512,0.5966417,0.15366383,0.0,0.468112,0.36067742,0.39147672,0.418725,15796336.0,55935
KVUE,2023-12-01,0.19884372,0.16254264,0.19738056,0.0,1.025189,0.4212943,0.410425,0.4008709,19024826.0,56957
GM,2023-12-01,0.44137722,0.46375138,0.090187036,0.0,0.422236,0.26682028,0.25989872,0.27359363,22865464.0,152220
EFA,2023-12-01,0.12768221,0.130572,0.01580982,0.0,0.118927,0.12122142,0.11865557,0.12163078,15402909.0,60563
ROKU,2023-12-01,0.8049789,1.006896,0.23155236,0.0,0.501526,0.45232615,0.4567834,0.46867687,10056067.0,67192
PLUG,2023-12-01,2.0466967,2.135834,1.1630087,0.0,0.506771,0.8812924,0.97099197,0.99344057,46473948.0,80175
SNOW,2023-12-01,0.5283591,0.51742893,0.1272446,0.0,0.328882,0.33378714,0.34823844,0.3549174,5791379.5,135337
JD,2023-12-01,0.46972352,0.3934585,0.14301944,0.0,0.228397,0.35862756,0.36590728,0.36892492,12996334.0,49832
OXY,2023-12-01,0.22845961,0.2083381,0.05587837,0.0,0.220818,0.21305244,0.21923472,0.22112514,8953097.0,84381
HOOD,2023-12-01,0.570402,0.7221272,0.23151535,0.0,0.20599,0.45744672,0.43320686,0.46916252,11192031.0,156363
RBLX,2023-12-01,0.69840205,0.5312864,0.15816574,0.0,0.402491,0.3661953,0.37308842,0.43083963,12980670.0,74195
JNJ,2023-12-01,0.13217889,0.14595109,0.025715858,0.0,0.214118,0.13426085,0.14093587,0.14494522,6900111.0,46984
VZ,2023-12-01,0.13065083,0.10465861,0.028069042,0.0,0.071459,0.147387,0.169688,0.17125006,21522212.0,80207
WMT,2023-12-01,0.27712598,0.32088038,0.027720962,0.0,0.29576,0.13817699,0.14880386,0.14641303,27391004.0,157930
ENPH,2023-12-01,0.59987277,0.62902313,0.273078,0.0,0.408717,0.48936287,0.5085017,0.55665374,4751679.5,95736
QCOM,2023-12-01,0.33571565,0.26161054,0.051977403,0.0,0.219553,0.21312414,0.217094,0.24088787,10145824.0,29093
DAL,2023-12-01,0.28818738,0.26015282,0.08767425,0.0,0.177044,0.27453887,0.3099753,0.30056372,9471672.0,54729
